bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.4,0.2,bucket_wise,ROOT,False
L1_group=A,0.4,0.2,bucket_wise,ROOT,True
L1_group=B,0.4,0.2,bucket_wise,ROOT,True
L1_group=C,0.4,0.2,bucket_wise,ROOT,True
L1_group=D,0.4,0.2,bucket_wise,L1_group=D,False
L1_group=A|L2_x1=high,0.4,0.2,bucket_wise,L1_group=A|L2_x1=high,False
L1_group=A|L2_x1=low,0.4,0.2,bucket_wise,L1_group=A|L2_x1=low,False
L1_group=A|L2_x1=mid,0.4,0.2,bucket_wise,ROOT,True
L1_group=B|L2_x1=high,0.4,0.2,bucket_wise,L1_group=B|L2_x1=high,False
L1_group=B|L2_x1=low,0.4,0.2,bucket_wise,ROOT,True
L1_group=B|L2_x1=mid,0.4,0.2,bucket_wise,ROOT,True
L1_group=C|L2_x1=high,0.4,0.2,bucket_wise,ROOT,True
L1_group=C|L2_x1=low,0.4,0.2,bucket_wise,L1_group=C|L2_x1=low,False
L1_group=C|L2_x1=mid,0.4,0.2,bucket_wise,L1_group=C|L2_x1=mid,False
L1_group=D|L2_x1=high,0.4,0.2,bucket_wise,L1_group=D,True
L1_group=D|L2_x1=low,0.4,0.2,bucket_wise,L1_group=D|L2_x1=low,False
L1_group=D|L2_x1=mid,0.4,0.2,bucket_wise,L1_group=D,True
