bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,160000,22398,9599,,False,False,ROOT
L1_group=A,ROOT,1,L1_group,categorical_group,A,39769,5554,2399,,False,True,ROOT
L1_group=B,ROOT,1,L1_group,categorical_group,B,39945,5591,2397,,False,True,ROOT
L1_group=C,ROOT,1,L1_group,categorical_group,C,40274,5627,2426,,False,True,ROOT
L1_group=D,ROOT,1,L1_group,categorical_group,D,40012,5625,2376,,False,False,L1_group=D
L1_group=A|L2_x1=high,L1_group=A,2,L2_x1,numeric_bin,high,12422,8727,3695,,True,False,L1_group=A|L2_x1=high
L1_group=A|L2_x1=low,L1_group=A,2,L2_x1,numeric_bin,low,12156,8476,3680,,True,False,L1_group=A|L2_x1=low
L1_group=A|L2_x1=mid,L1_group=A,2,L2_x1,numeric_bin,mid,15191,10571,4620,,True,True,ROOT
L1_group=B|L2_x1=high,L1_group=B,2,L2_x1,numeric_bin,high,12272,8626,3646,,True,False,L1_group=B|L2_x1=high
L1_group=B|L2_x1=low,L1_group=B,2,L2_x1,numeric_bin,low,12507,8791,3716,,True,True,ROOT
L1_group=B|L2_x1=mid,L1_group=B,2,L2_x1,numeric_bin,mid,15166,10540,4626,,True,True,ROOT
L1_group=C|L2_x1=high,L1_group=C,2,L2_x1,numeric_bin,high,12423,8611,3812,,True,True,ROOT
L1_group=C|L2_x1=low,L1_group=C,2,L2_x1,numeric_bin,low,12407,8711,3696,,True,False,L1_group=C|L2_x1=low
L1_group=C|L2_x1=mid,L1_group=C,2,L2_x1,numeric_bin,mid,15444,10817,4627,,True,False,L1_group=C|L2_x1=mid
L1_group=D|L2_x1=high,L1_group=D,2,L2_x1,numeric_bin,high,12364,8638,3726,,True,True,L1_group=D
L1_group=D|L2_x1=low,L1_group=D,2,L2_x1,numeric_bin,low,12315,8635,3680,,True,False,L1_group=D|L2_x1=low
L1_group=D|L2_x1=mid,L1_group=D,2,L2_x1,numeric_bin,mid,15333,10857,4476,,True,True,L1_group=D
