bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_group=A|L2_x1=b2|L3_x2=b2|L4_x3=b4,0.0,0.0,0.0,0.5,0.7209302325581395,0.0,0.0,0.15555555555555556,0.044444444444444446,0.0,90,0.4,0.2
L1_group=C|L2_x1=b5|L3_x2=b2|L4_x3=b2,0.8877551020408163,0.8529411764705882,0.87,0.8014705882352942,0.8997326203208557,0.5889354701452427,0.5877497827975673,0.2534246575342466,0.2191780821917808,0.6712328767123288,146,0.4,0.2
L1_group=C|L2_x1=b5|L3_x2=b5|L4_x3=b1,0.0,0.0,0.0,0.5,0.3763440860215054,0.0,0.0,0.3382352941176471,0.14705882352941177,0.0,34,0.4,0.2
L1_group=D|L2_x1=b4|L3_x2=b1|L4_x3=b5,0.8888888888888888,1.0,0.9411764705882353,0.6,0.8687499999999999,0.4216370213557839,0.30188679245283023,0.12162162162162163,0.02702702702702703,0.972972972972973,37,0.4,0.2
L1_group=C|L2_x1=b4|L3_x2=b2|L4_x3=b3,0.7571428571428571,0.803030303030303,0.7794117647058824,0.8026779422128258,0.8724453840732912,0.6019716181634398,0.6011196641007698,0.3618421052631579,0.28289473684210525,0.4605263157894737,152,0.4,0.2
L1_group=B|L2_x1=b2|L3_x2=b4|L4_x3=b2,0.25,0.2,0.22222222222222224,0.5883720930232558,0.8031007751937985,0.19684451697734162,0.19554030874785588,0.12313432835820895,0.09701492537313433,0.029850746268656716,134,0.4,0.2
L1_group=D|L2_x1=b1|L3_x2=b1|L4_x3=b5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.6571428571428571,0.7619047619047619,0.2927700218845599,0.2727272727272727,0.4318181818181818,0.22727272727272727,0.5,22,0.4,0.2
L1_group=C|L2_x1=b5|L3_x2=b3|L4_x3=b5,0.7586206896551724,0.6666666666666666,0.7096774193548386,0.7126436781609196,0.7920585161964472,0.42528735632183906,0.4217616580310881,0.41935483870967744,0.27419354838709675,0.46774193548387094,62,0.4,0.2
L1_group=A|L2_x1=b5|L3_x2=b3|L4_x3=b4,0.625,0.2631578947368421,0.37037037037037035,0.5958646616541353,0.7819548872180451,0.2630310731435915,0.22784810126582267,0.5573770491803278,0.29508196721311475,0.13114754098360656,61,0.4,0.2
L1_group=B|L2_x1=b4|L3_x2=b3|L4_x3=b3,0.7727272727272727,0.3617021276595745,0.4927536231884059,0.654535274356103,0.7993281075027995,0.40194477855627525,0.35705045278137126,0.5,0.29577464788732394,0.15492957746478872,142,0.4,0.2
L1_group=B|L2_x1=b4|L3_x2=b4|L4_x3=b3,0.5535714285714286,0.8157894736842105,0.6595744680851064,0.7674452986398581,0.8385570668243644,0.49331983476848734,0.4709711012757095,0.3858267716535433,0.28346456692913385,0.4409448818897638,127,0.4,0.2
L1_group=B|L2_x1=b2|L3_x2=b3|L4_x3=b4,0.3333333333333333,0.36363636363636365,0.34782608695652173,0.6229946524064172,0.7419786096256684,0.23726790724392607,0.2369607211848036,0.33544303797468356,0.12658227848101267,0.1518987341772152,79,0.4,0.2
L1_group=C|L2_x1=b1|L3_x2=b1|L4_x3=b3,0.5,0.16666666666666666,0.25,0.572463768115942,0.6231884057971014,0.24077170617153842,0.20408163265306123,0.3269230769230769,0.23076923076923078,0.038461538461538464,52,0.4,0.2
L1_group=D|L2_x1=b2|L3_x2=b2|L4_x3=b2,0.86,0.6615384615384615,0.7478260869565216,0.7935351882160393,0.8466448445171851,0.6216021678645597,0.6087399236317352,0.4056603773584906,0.27044025157232704,0.31446540880503143,159,0.4,0.2
L1_group=C|L2_x1=b3|L3_x2=b4|L4_x3=b5,0.6666666666666666,0.36363636363636365,0.4705882352941177,0.6547911547911548,0.8132678132678133,0.3934350706166836,0.368421052631579,0.3541666666666667,0.2708333333333333,0.125,48,0.4,0.2
L1_group=A|L2_x1=b4|L3_x2=b1|L4_x3=b2,0.0,0.0,0.0,0.49583333333333335,0.6152777777777778,-0.02,-0.01379310344827589,0.1388888888888889,0.05555555555555555,0.007936507936507936,126,0.4,0.2
L1_group=B|L2_x1=b3|L3_x2=b5|L4_x3=b2,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.8009523809523809,0.8593650793650794,0.5960672870059859,0.5956644674835061,0.3888888888888889,0.27350427350427353,0.37606837606837606,117,0.4,0.2
L1_group=A|L2_x1=b1|L3_x2=b2|L4_x3=b4,0.0,0.0,0.0,0.5,0.7574468085106383,0.0,0.0,0.2980769230769231,0.019230769230769232,0.0,52,0.4,0.2
L1_group=D|L2_x1=b1|L3_x2=b3|L4_x3=b1,0.6428571428571429,0.4090909090909091,0.5000000000000001,0.6351010101010102,0.736111111111111,0.3063802925150554,0.2907608695652174,0.6379310344827587,0.27586206896551724,0.2413793103448276,58,0.4,0.2
L1_group=D|L2_x1=b1|L3_x2=b2|L4_x3=b4,0.4166666666666667,0.625,0.5,0.7291666666666667,0.806547619047619,0.3934310761695197,0.3811881188118812,0.35,0.26,0.24,50,0.4,0.2
L1_group=B|L2_x1=b2|L3_x2=b5|L4_x3=b2,0.3,0.3,0.3,0.6111111111111112,0.7422222222222222,0.2222222222222222,0.2222222222222222,0.295,0.18,0.1,100,0.4,0.2
L1_group=D|L2_x1=b5|L3_x2=b1|L4_x3=b4,0.9423076923076923,1.0,0.9702970297029703,0.5,0.29251700680272114,0.0,0.0,0.057692307692307696,0.0,1.0,52,0.4,0.2
L1_group=B|L2_x1=b4|L3_x2=b5|L4_x3=b3,0.6349206349206349,0.9302325581395349,0.7547169811320754,0.7255329457364341,0.875484496124031,0.48791654392211653,0.4403973509933775,0.38461538461538464,0.12087912087912088,0.6923076923076923,91,0.4,0.2
L1_group=C|L2_x1=b2|L3_x2=b3|L4_x3=b5,0.75,0.375,0.5,0.6534090909090908,0.8087121212121212,0.38461694555127807,0.34615384615384615,0.5147058823529411,0.27941176470588236,0.17647058823529413,68,0.4,0.2
L1_group=B|L2_x1=b4|L3_x2=b3|L4_x3=b4,0.4444444444444444,0.5454545454545454,0.4897959183673469,0.6777905638665132,0.7640966628308401,0.33163919102320777,0.32863600106354696,0.42574257425742573,0.25742574257425743,0.26732673267326734,101,0.4,0.2
L1_group=B|L2_x1=b4|L3_x2=b3|L4_x3=b2,0.7586206896551724,0.5,0.6027397260273972,0.7244525547445255,0.8556735235567352,0.5249529462703795,0.5076446862395647,0.3674033149171271,0.23204419889502761,0.16022099447513813,181,0.4,0.2
L1_group=A|L2_x1=b4|L3_x2=b4|L4_x3=b5,0.6111111111111112,0.6875,0.6470588235294118,0.7659722222222223,0.8902777777777778,0.5130527802535217,0.5113484646194927,0.26229508196721313,0.21311475409836064,0.29508196721311475,61,0.4,0.2
L1_group=D|L2_x1=b4|L3_x2=b5|L4_x3=b4,0.6,0.42857142857142855,0.5,0.6688311688311688,0.8165584415584415,0.3825184261187248,0.37410071942446044,0.39655172413793105,0.25862068965517243,0.1724137931034483,58,0.4,0.2
L1_group=C|L2_x1=b3|L3_x2=b5|L4_x3=b4,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.5809090909090909,0.8327272727272728,0.28769614180667996,0.2258883248730964,0.39344262295081966,0.11475409836065574,0.04918032786885246,61,0.4,0.2
L1_group=A|L2_x1=b1|L3_x2=b4|L4_x3=b3,0.0,0.0,0.0,0.5,0.5084745762711864,0.0,0.0,0.11475409836065574,0.03278688524590164,0.0,61,0.4,0.2
L1_group=D|L2_x1=b3|L3_x2=b2|L4_x3=b2,0.7181208053691275,0.8991596638655462,0.798507462686567,0.7162464985994398,0.8405228758169935,0.4733747141802055,0.4508029197080292,0.3708133971291866,0.21052631578947367,0.7129186602870813,209,0.4,0.2
L1_group=B|L2_x1=b5|L3_x2=b2|L4_x3=b3,0.6875,0.36666666666666664,0.47826086956521735,0.6588235294117647,0.8107843137254902,0.40786511909607265,0.380281690140845,0.38636363636363635,0.2878787878787879,0.12121212121212122,132,0.4,0.2
L1_group=D|L2_x1=b5|L3_x2=b1|L4_x3=b2,0.8536585365853658,1.0,0.9210526315789475,0.5,0.7833333333333333,0.0,0.0,0.14634146341463414,0.0,1.0,82,0.4,0.2
L1_group=B|L2_x1=b5|L3_x2=b4|L4_x3=b2,0.8833333333333333,0.8548387096774194,0.8688524590163934,0.7752454417952315,0.894109396914446,0.5367403739975305,0.5358361774744027,0.2823529411764706,0.17647058823529413,0.7058823529411765,85,0.4,0.2
L1_group=C|L2_x1=b3|L3_x2=b1|L4_x3=b5,0.6451612903225806,0.9090909090909091,0.7547169811320754,0.648989898989899,0.7398989898989898,0.35500323670398953,0.3121693121693121,0.5,0.15,0.775,40,0.4,0.2
L1_group=D|L2_x1=b3|L3_x2=b1|L4_x3=b3,0.8470588235294118,0.972972972972973,0.9056603773584906,0.6910319410319411,0.8427518427518427,0.5041472226233727,0.46348733233979145,0.19791666666666666,0.10416666666666667,0.8854166666666666,96,0.4,0.2
L1_group=D|L2_x1=b3|L3_x2=b5|L4_x3=b2,0.64,0.5333333333333333,0.5818181818181818,0.7216666666666667,0.789,0.4739432689913659,0.47079646017699117,0.38461538461538464,0.17692307692307693,0.19230769230769232,130,0.4,0.2
L1_group=C|L2_x1=b3|L3_x2=b3|L4_x3=b4,0.8611111111111112,0.6458333333333334,0.738095238095238,0.7774621212121212,0.906439393939394,0.580559865582787,0.5638953040800616,0.3737864077669903,0.1941747572815534,0.34951456310679613,103,0.4,0.2
L1_group=D|L2_x1=b3|L3_x2=b1|L4_x3=b2,0.7373737373737373,0.9733333333333334,0.839080459770115,0.6043137254901961,0.7988235294117646,0.3348296776752167,0.25850340136054417,0.30275229357798167,0.06422018348623854,0.908256880733945,109,0.4,0.2
L1_group=B|L2_x1=b2|L3_x2=b4|L4_x3=b3,0.5625,0.375,0.45,0.6541666666666667,0.8615079365079366,0.3640168903501278,0.35382513661202175,0.34108527131782945,0.14728682170542637,0.12403100775193798,129,0.4,0.2
L1_group=A|L2_x1=b2|L3_x2=b2|L4_x3=b3,0.0,0.0,0.0,0.5,0.7465382299819386,0.0,0.0,0.2006172839506173,0.024691358024691357,0.0,162,0.4,0.2
L1_group=A|L2_x1=b5|L3_x2=b1|L4_x3=b2,0.0,0.0,0.0,0.49404761904761907,0.47619047619047616,-0.011904761904761904,-0.011904761904761862,0.13529411764705881,0.17647058823529413,0.011764705882352941,85,0.4,0.2
L1_group=C|L2_x1=b3|L3_x2=b4|L4_x3=b4,0.5,0.38461538461538464,0.4347826086956522,0.6476648351648352,0.7472527472527473,0.32805507785002347,0.3240391861341372,0.39855072463768115,0.2463768115942029,0.14492753623188406,69,0.4,0.2
L1_group=D|L2_x1=b5|L3_x2=b3|L4_x3=b4,0.5892857142857143,0.9166666666666666,0.717391304347826,0.6388888888888888,0.8572530864197532,0.33407655239053047,0.2777777777777778,0.4375,0.19444444444444445,0.7777777777777778,72,0.4,0.2
L1_group=D|L2_x1=b3|L3_x2=b4|L4_x3=b4,0.44,0.5,0.46808510638297873,0.6071428571428572,0.7532467532467533,0.2074692224424374,0.20652659812248553,0.5140845070422535,0.2676056338028169,0.352112676056338,71,0.4,0.2
