bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
ROOT,L1,,22398,9599,0.2602018037324761,0.26054797374726535,0.4,0.2,0.39649963537868527,0.5676929565584141,0.6006247211066488,0.5381847261095561,0.24658818626940307,0.23346181893947285,9599,False,,f1_regret_bnd,0.04789922804502732,-0.3,0.3478992280450273,ROOT,False,1
L1_group=A,L1,ROOT,5570,2402,0.13859964093357272,0.11948376353039133,0.4,0.2,0.2331390507910075,0.4881889763779528,0.5610859728506787,0.43205574912891986,0.14487926727726894,0.09200666111573688,2402,False,,f1_regret_bnd,0.1826102919483108,0.04789922804502732,0.13471106390328347,L1_group=A,False,1
L1_group=B,L1,ROOT,5591,2403,0.21212663208728313,0.22388680815647108,0.4,0.2,0.31585518102372034,0.5963114754098361,0.6643835616438356,0.5408921933085502,0.18601747815230962,0.1822721598002497,2403,False,,f1_regret_bnd,0.18744755530996093,0.04789922804502732,0.1395483272649336,L1_group=B,False,1
L1_group=C,L1,ROOT,5603,2417,0.2737819025522042,0.2887877534133223,0.4,0.2,0.3767066611501862,0.6511289147851421,0.6622222222222223,0.6404011461318052,0.2126603227141084,0.27927182457592054,2417,False,,f1_regret_bnd,0.16809209227790173,0.04789922804502732,0.12019286423287441,L1_group=C,False,1
L1_group=D,L1,ROOT,5627,2372,0.4314910254131864,0.4139966273187184,0.4,0.3,0.4169477234401349,0.7099132023755139,0.6437448218724109,0.7912423625254582,0.11509274873524451,0.5088532883642496,2372,False,,f1_regret_bnd,0.23541910456775675,0.04789922804502732,0.18751987652272945,L1_group=D,False,1
L1_group=A|L2_x1=b1,L2,L1_group=A,642,615,0.045171339563862926,0.056910569105691054,0.4,0.2,0.15365853658536585,0.1081081081081081,1.0,0.05714285714285714,0.03414634146341464,0.0032520325203252032,615,True,L1_group=A,f1_regret_bnd,-0.06262359920896507,0.1826102919483108,-0.24523389115727587,L1_group=A,True,1
L1_group=A|L2_x1=b2,L2,L1_group=A,1257,559,0.06523468575974542,0.05008944543828265,0.4,0.2,0.14579606440071557,0.0689655172413793,1.0,0.03571428571428571,0.0017889087656529517,0.0017889087656529517,559,True,L1_group=A,f1_regret_bnd,-0.07772500154216276,0.1826102919483108,-0.2603352934904736,L1_group=A,True,1
L1_group=A|L2_x1=b3,L2,L1_group=A,1324,539,0.09516616314199396,0.10018552875695733,0.4,0.2,0.24582560296846012,0.3037974683544304,0.48,0.2222222222222222,0.09647495361781076,0.04638218923933209,539,True,L1_group=A,f1_regret_bnd,0.009734388577064886,0.1826102919483108,-0.17287590337124592,L1_group=A,True,1
L1_group=A|L2_x1=b4,L2,L1_group=A,1329,575,0.1437170805116629,0.1391304347826087,0.4,0.2,0.2982608695652174,0.381679389312977,0.49019607843137253,0.3125,0.1408695652173913,0.08869565217391304,575,True,L1_group=A,f1_regret_bnd,0.01298373713906395,0.1826102919483108,-0.16962655480924685,L1_group=A,True,1
L1_group=A|L2_x1=b5,L2,L1_group=A,1011,449,0.26904055390702275,0.24721603563474387,0.4,0.2,0.2561247216035635,0.6923076923076923,0.6585365853658537,0.7297297297297297,0.16926503340757237,0.2739420935412027,449,False,,f1_regret_bnd,0.3515504540003426,0.1826102919483108,0.16894016205203183,L1_group=A|L2_x1=b5,False,1
