fold,model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
1,BTTWD,0.5851487968104798,0.7886202264440606,0.6718162497956515,0.7958078480249243,0.8704370896079163,0.5440278618056806,0.5317410031614539,0.1098,0.27495,0.3107625
2,BTTWD,0.5940543311122501,0.7783747481531229,0.6738372093023256,0.7954659013105608,0.8670990020013262,0.5470166207204444,0.5369828452763182,0.116825,0.279125,0.313675
3,BTTWD,0.5852231691463239,0.7774153314784611,0.6677654621121596,0.7916220924897461,0.8670374380527568,0.5381367155274366,0.5271843241272902,0.1414,0.2823,0.3151125
4,BTTWD,0.5900956832955957,0.7751127314592727,0.6700671808907689,0.7926853510898826,0.8671503999024319,0.5415451317036961,0.5314193831358218,0.1195,0.270025,0.3162875
5,BTTWD,0.5912808529282898,0.776839681473664,0.6714765518099266,0.793802401510406,0.8696299618084562,0.5435834139781948,0.5334024456790607,0.1035,0.271525,0.3171
1,LogReg,0.5269947097615769,0.697754749568221,0.6004706659510343,0.7385419903767807,0.8137985491532467,0.44052649138187105,0.4317788502779901,0.0,,0.399425
2,LogReg,0.5251631617113851,0.6948095557900796,0.5981910543922686,0.7367106574636235,0.8111685261402248,0.4372256110069402,0.42859128016432646,0.0,,0.402275
3,LogReg,0.515020531661984,0.6858869807157248,0.5882982225148123,0.7291388448562903,0.8071138464417753,0.42258443314445576,0.4138225693817601,0.0,,0.41385
4,LogReg,0.5217895729098687,0.6903962390866353,0.5943668951846038,0.7337094628168072,0.8096374363510629,0.4316747217570871,0.4231453789902705,0.0,,0.4069
5,LogReg,0.5269035532994923,0.697112155809268,0.6001734605377277,0.7382676781345423,0.8133112979875433,0.4401015664940629,0.4314104412859333,0.0,,0.399875
1,RandomForest,0.6027964785085448,0.7818077144502015,0.6807301892309621,0.8001438328826841,0.8733508601821576,0.5570518353549384,0.5476254381006145,0.0,,0.304775
2,RandomForest,0.6007867003117114,0.7766477981387316,0.6774908984391346,0.7973917558499724,0.8701561050435043,0.5523930376626958,0.5432895627905119,0.0,,0.309075
3,RandomForest,0.597443853427896,0.7758802647990022,0.6750699110981259,0.7958246372512441,0.869280413911628,0.5488641298451582,0.5394775573127721,0.0,,0.311425
4,RandomForest,0.6011336515513126,0.7732898397774153,0.67642986026604,0.7962368325235252,0.8695714486472639,0.5509154841807586,0.5421951341380724,0.0,,0.310925
5,RandomForest,0.6034444526572548,0.7832677731938981,0.6816967267869071,0.8009384137633283,0.8734696396588035,0.5584226564874771,0.5489120842520993,0.0,,0.30355
1,KNN,0.46591673289723057,0.7312416042985991,0.5691773404533403,0.7179434744057063,0.7834081051387483,0.38916223100648434,0.3680214804552303,0.0,,0.428475
2,KNN,0.46663395485770365,0.7299242060827017,0.5693119317544056,0.7179559834213758,0.7838153416821365,0.3893925312313657,0.36857419610296127,0.0,,0.428525
3,KNN,0.4645173019816981,0.7353928811282741,0.5693804783835984,0.7183236170864348,0.7848779677426254,0.3893357827693161,0.36729528423221136,0.0,,0.42775
4,KNN,0.46766990885177706,0.7334740477789504,0.5711617482256256,0.7196294741041691,0.7847734024512975,0.39222195465255005,0.3709851314446152,0.0,,0.4259
5,KNN,0.47454323995127895,0.7475774728964789,0.580561040122192,0.7279321587020178,0.791899209731239,0.406771532909613,0.38427352889689803,0.0,,0.413025
1,XGBoost,0.6258556316116988,0.772020725388601,0.6912965031360082,0.8046999292640482,0.8806580651370505,0.5727596705219148,0.5665532668034619,0.0,,0.29845
2,XGBoost,0.6253529965484782,0.7648469730403914,0.6881015061930862,0.8016850749165848,0.8772774926553957,0.568377703302287,0.5627256051803202,0.0,,0.303225
3,XGBoost,0.6163258983890955,0.763503789695865,0.6820655667452324,0.7980043883394969,0.8759162786871206,0.5595525194994403,0.5532313818467245,0.0,,0.308725
4,XGBoost,0.623094363224142,0.764655089705459,0.6866546049797536,0.8008284070091348,0.8767326830131584,0.5662571898988009,0.5604294758722479,0.0,,0.3045
5,XGBoost,0.6280592361652377,0.773097956442483,0.6930718616952651,0.8058781867278514,0.8806761606196705,0.5752992194764346,0.5691946206007727,0.0,,0.296675
