bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
ROOT,L1,,788,337,0.2639593908629442,0.2403560830860534,0.4,0.2,0.4406528189910979,0.5683060109289617,0.5098039215686274,0.6419753086419753,0.1513353115727003,0.3026706231454006,False,337,5634,0.2653532126375577,0.6588782793209876,0.8220486111111112,f1_regret_bnd,0.051985536151513634,-0.43997634535777647,0.4919618815092901,False,ROOT,,,,,,,1,0.2653532126375577
L1_Contract=month_to_month,L1,ROOT,434,198,0.4216589861751152,0.3888888888888889,0.4,0.2,0.5606060606060606,0.6188340807174888,0.4726027397260274,0.8961038961038961,0.26262626262626265,0.7373737373737373,True,198,3108,0.42503217503217505,0.44805194805194803,0.7284533648170011,f1_regret_bnd,-0.07308511120170308,0.051985536151513634,-0.1250706473532167,True,ROOT,,,,,,,1,0.42503217503217505
L1_Contract=month_to_month|L2_tenure=new,L2,L1_Contract=month_to_month,224,96,0.45089285714285715,0.4895833333333333,0.2,0.0,0.4791666666666667,0.7040000000000001,0.5641025641025641,0.9361702127659575,0.1875,0.8125,False,96,1613,0.5083694978301302,0.46808510638297873,0.7412071211463309,f1_regret_bnd,0.13108333333333338,-0.07308511120170308,0.20416844453503646,False,L1_Contract=month_to_month|L2_tenure=new,,,,,,,1,0.5083694978301302
L1_Contract=two_year,L1,ROOT,252,111,0.015873015873015872,0.0,0.4,0.2,,,,,,,True,0,1344,0.02976190476190476,,,f1_regret_bnd,,0.051985536151513634,,True,ROOT,,,,,,,1,0.02976190476190476
L1_Contract=one_year,L1,ROOT,165,126,0.09696969696969697,0.12698412698412698,0.4,0.2,0.5198412698412699,0.0,0.0,0.0,0.3412698412698413,0.0,True,126,1182,0.11336717428087986,0.34545454545454546,0.6528409090909091,f1_regret_bnd,-0.6904761904761905,0.051985536151513634,-0.742461726627704,True,ROOT,,,,,,,1,0.11336717428087986
L1_Contract=month_to_month|L2_tenure=mid_term,L2,L1_Contract=month_to_month,141,56,0.24822695035460993,0.21428571428571427,0.4,0.2,0.6071428571428571,0.5,1.0,0.3333333333333333,0.9285714285714286,0.07142857142857142,True,56,826,0.32566585956416466,0.16666666666666666,0.6818181818181818,f1_regret_bnd,-0.5714285714285714,-0.07308511120170308,-0.4983434602268683,True,ROOT,,,,,,,1,0.32566585956416466
L1_Contract=two_year|L2_tenure=long_term,L2,L1_Contract=two_year,107,236,0.0,0.046610169491525424,0.7,0.2,0.211864406779661,0.0,0.0,0.0,0.025423728813559324,0.0,False,236,778,0.03470437017994859,0.4911111111111111,0.8080808080808081,f1_regret_bnd,-0.22457627118644066,-0.43997634535777647,0.2154000741713358,False,L1_Contract=two_year|L2_tenure=long_term,,,,,,,1,0.03470437017994859
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,L3,L1_Contract=month_to_month|L2_tenure=new,508,222,0.6968503937007874,0.6981981981981982,0.3,0.0,0.30180180180180183,0.8257372654155496,0.7064220183486238,0.9935483870967742,0.018018018018018018,0.9819819819819819,False,222,730,0.6972602739726027,0.4967741935483871,0.6541165142031777,f1_regret_bnd,0.5149264546047387,0.13108333333333338,0.38384312127140535,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,,186.0,0.7204301075268817,0.0,0.9838709677419355,0.30376344086021506,1,0.6972602739726027
L1_Contract=one_year|L2_tenure=mid_term,L2,L1_Contract=one_year,94,64,0.14893617021276595,0.078125,0.7,0.6,0.390625,0.0,0.0,0.0,0.0,0.0,False,64,669,0.11958146487294469,0.5,0.6711864406779661,f1_regret_bnd,-0.390625,-0.6904761904761905,0.29985119047619047,False,L1_Contract=one_year|L2_tenure=mid_term,,,,,,,1,0.11958146487294469
L1_Contract=month_to_month|L2_tenure=short_term,L2,L1_Contract=month_to_month,117,97,0.24786324786324787,0.26804123711340205,0.4,0.2,0.6494845360824743,0.48000000000000004,0.3673469387755102,0.6923076923076923,0.4948453608247423,0.5051546391752577,True,97,578,0.36505190311418684,0.34615384615384615,0.6305525460455038,f1_regret_bnd,-0.41690721649484536,-0.07308511120170308,-0.3438221052931423,True,ROOT,,,,,,,1,0.36505190311418684
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=dsl,L3,L1_Contract=month_to_month|L2_tenure=new,402,166,0.4154228855721393,0.43373493975903615,0.2,0.0,0.5210843373493976,0.6540284360189573,0.49640287769784175,0.9583333333333334,0.16265060240963855,0.8373493975903614,True,166,568,0.42077464788732394,0.4791666666666667,0.602098108747045,f1_regret_bnd,0.05161879746474042,0.13108333333333338,-0.07946453586859296,True,L1_Contract=month_to_month|L2_tenure=new,L1_Contract=month_to_month|L2_tenure=new,122.0,0.4426229508196721,0.0,0.7704918032786885,0.5901639344262295,1,0.42077464788732394
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber,L3,L1_Contract=month_to_month|L2_tenure=mid_term,402,160,0.44029850746268656,0.3625,0.2,0.0,0.5875,0.5789473684210527,0.4166666666666667,0.9482758620689655,0.175,0.825,False,160,562,0.4181494661921708,0.47413793103448276,0.6610885733603786,f1_regret_bnd,-0.09605263157894736,-0.5714285714285714,0.475375939849624,False,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber,,133.0,0.3458646616541353,0.0,0.849624060150376,0.6090225563909775,1,0.4181494661921708
L1_Contract=two_year|L2_tenure=mid_term,L2,L1_Contract=two_year,98,84,0.08163265306122448,0.011904761904761904,0.5,0.4,0.05952380952380952,0.0,0.0,0.0,0.0,0.0,False,84,447,0.029082774049217,0.5,0.6506024096385542,f1_regret_bnd,-0.05952380952380952,-0.43997634535777647,0.38045253583396693,False,L1_Contract=two_year|L2_tenure=mid_term,,,,,,,1,0.029082774049217
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber,L3,L1_Contract=month_to_month|L2_tenure=short_term,233,106,0.4721030042918455,0.5283018867924528,0.1,0.0,0.4716981132075472,0.6913580246913581,0.5283018867924528,1.0,0.0,1.0,False,106,339,0.4896755162241888,0.5,0.6075,f1_regret_bnd,0.21965991148381092,-0.41690721649484536,0.6365671279786562,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber,,86.0,0.5697674418604651,0.0,1.0,0.43023255813953487,1,0.4896755162241888
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=dsl,L3,L1_Contract=two_year|L2_tenure=long_term,236,82,0.03389830508474576,0.024390243902439025,0.5,0.4,0.12195121951219512,0.0,0.0,0.0,0.0,0.0,False,82,318,0.031446540880503145,0.5,0.5249999999999999,f1_regret_bnd,-0.12195121951219512,-0.22457627118644066,0.10262505167424554,False,L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=dsl,,84.0,0.0,0.0,0.0,0.0,1,0.031446540880503145
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=OTHER,L3,L1_Contract=month_to_month|L2_tenure=new,218,97,0.22018348623853212,0.24742268041237114,0.2,0.0,0.6597938144329897,0.4444444444444445,0.358974358974359,0.5833333333333334,0.5979381443298969,0.4020618556701031,True,97,315,0.22857142857142856,0.2916666666666667,0.5984589041095891,f1_regret_bnd,-0.5143184421534936,0.13108333333333338,-0.6454017754868271,True,L1_Contract=month_to_month|L2_tenure=new,L1_Contract=month_to_month|L2_tenure=new,73.0,0.2191780821917808,0.0,0.4794520547945205,0.7397260273972602,1,0.22857142857142856
