bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket
ROOT,,0,788,337,0.6738581992170509,0.5992217898832685,0.8234884732492388,0.4658753709198813,0.10682492581602374,0.4807121661721068,f1_regret_bnd,0.0799339560553753,-0.44500295683027796,0.5249369128856533,False,ROOT
L1_Contract=month_to_month,ROOT,1,476,206,0.4157303370786517,0.6883720930232559,0.7493517718236821,0.5194174757281553,0.3883495145631068,0.6116504854368932,f1_regret_bnd,-0.025220139986452866,0.0799339560553753,-0.10515409604182817,True,ROOT
L1_Contract=one_year,ROOT,1,162,130,0.4935064935064935,0.3,0.7891520244461421,0.35384615384615387,0.24615384615384617,0.06923076923076923,f1_regret_bnd,-0.17692307692307696,0.0799339560553753,-0.25685703297845225,True,ROOT
L1_Contract=two_year,ROOT,1,272,100,0.4896907216494845,0.0,0.9793814432989691,0.125,0.03,0.0,f1_regret_bnd,-0.14,0.0799339560553753,-0.2199339560553753,True,ROOT
L1_Contract=month_to_month|L2_tenure=long_term,L1_Contract=month_to_month,2,60,24,0.6859375,0.7368421052631577,0.90546875,0.2976190476190476,0.2619047619047619,0.21428571428571427,f1_regret_bnd,,-0.025220139986452866,,True,ROOT
L1_Contract=month_to_month|L2_tenure=mid_term,L1_Contract=month_to_month,2,144,60,0.55,0.6382978723404256,0.73,0.44166666666666665,0.31666666666666665,0.45,f1_regret_bnd,0.03829787234042559,-0.025220139986452866,0.06351801232687845,False,L1_Contract=month_to_month|L2_tenure=mid_term
L1_Contract=month_to_month|L2_tenure=new,L1_Contract=month_to_month,2,225,88,0.48863636363636365,0.6825396825396824,0.7221074380165289,0.48863636363636365,0.06818181818181818,0.9318181818181818,f1_regret_bnd,0.1598124098124097,-0.025220139986452866,0.18503254979886258,False,L1_Contract=month_to_month|L2_tenure=new
L1_Contract=month_to_month|L2_tenure=short_term,L1_Contract=month_to_month,2,108,55,0.6666666666666667,0.7500000000000001,0.8732782369146005,0.45454545454545453,0.18181818181818182,0.4727272727272727,f1_regret_bnd,0.20454545454545467,-0.025220139986452866,0.22976559453190754,False,L1_Contract=month_to_month|L2_tenure=short_term
L1_Contract=one_year|L2_tenure=long_term,L1_Contract=one_year,2,83,92,0.4451219512195122,0.0,0.6268292682926829,0.5163043478260869,0.11956521739130435,0.0,f1_regret_bnd,-0.5760869565217391,-0.17692307692307696,-0.3991638795986622,True,ROOT
L1_Contract=one_year|L2_tenure=mid_term,L1_Contract=one_year,2,94,69,0.60625,0.3636363636363636,0.884375,0.18115942028985507,0.15942028985507245,0.08695652173913043,f1_regret_bnd,0.1027667984189723,-0.17692307692307696,0.27968987534204925,False,L1_Contract=one_year|L2_tenure=mid_term
