bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
ROOT,L1,,788,337,0.2639593908629442,0.2403560830860534,0.4,0.2,0.4406528189910979,0.5683060109289617,0.5098039215686274,0.6419753086419753,0.1513353115727003,0.3026706231454006,337,False,,f1_regret_bnd,0.051985536151513634,-0.43997634535777647,0.4919618815092901,ROOT,False,1
L1_Contract=month_to_month,L1,ROOT,434,198,0.4216589861751152,0.3888888888888889,0.4,0.2,0.5606060606060606,0.6188340807174888,0.4726027397260274,0.8961038961038961,0.26262626262626265,0.7373737373737373,198,True,,f1_regret_bnd,-0.07308511120170308,0.051985536151513634,-0.1250706473532167,ROOT,True,1
L1_Contract=one_year,L1,ROOT,165,126,0.09696969696969697,0.12698412698412698,0.4,0.2,0.5198412698412699,0.0,0.0,0.0,0.3412698412698413,0.0,126,True,,f1_regret_bnd,-0.6904761904761905,0.051985536151513634,-0.742461726627704,ROOT,True,1
L1_Contract=two_year,L1,ROOT,252,111,0.015873015873015872,0.0,0.4,0.2,,,,,,,0,True,,f1_regret_bnd,,0.051985536151513634,,ROOT,True,1
L1_Contract=month_to_month|L2_tenure=long_term,L2,L1_Contract=month_to_month,74,17,0.25675675675675674,0.11764705882352941,0.4,0.2,,,,,,,0,True,,f1_regret_bnd,,-0.07308511120170308,,ROOT,True,1
L1_Contract=month_to_month|L2_tenure=mid_term,L2,L1_Contract=month_to_month,141,56,0.24822695035460993,0.21428571428571427,0.4,0.2,0.6071428571428571,0.5,1.0,0.3333333333333333,0.9285714285714286,0.07142857142857142,56,True,,f1_regret_bnd,-0.5714285714285714,-0.07308511120170308,-0.4983434602268683,ROOT,True,1
L1_Contract=month_to_month|L2_tenure=new,L2,L1_Contract=month_to_month,224,96,0.45089285714285715,0.4895833333333333,0.2,0.0,0.4791666666666667,0.7040000000000001,0.5641025641025641,0.9361702127659575,0.1875,0.8125,96,False,,f1_regret_bnd,0.13108333333333338,-0.07308511120170308,0.20416844453503646,L1_Contract=month_to_month|L2_tenure=new,False,1
L1_Contract=month_to_month|L2_tenure=short_term,L2,L1_Contract=month_to_month,117,97,0.24786324786324787,0.26804123711340205,0.4,0.2,0.6494845360824743,0.48000000000000004,0.3673469387755102,0.6923076923076923,0.4948453608247423,0.5051546391752577,97,True,,f1_regret_bnd,-0.41690721649484536,-0.07308511120170308,-0.3438221052931423,ROOT,True,1
L1_Contract=one_year|L2_tenure=long_term,L2,L1_Contract=one_year,89,78,0.0898876404494382,0.08974358974358974,0.5,0.4,0.358974358974359,0.22222222222222224,0.5,0.14285714285714285,0.02564102564102564,0.02564102564102564,78,False,,f1_regret_bnd,-0.14957264957264957,-0.6904761904761905,0.5409035409035409,L1_Contract=one_year|L2_tenure=long_term,False,1
L1_Contract=one_year|L2_tenure=mid_term,L2,L1_Contract=one_year,94,64,0.14893617021276595,0.078125,0.7,0.6,0.390625,0.0,0.0,0.0,0.0,0.0,64,False,,f1_regret_bnd,-0.390625,-0.6904761904761905,0.29985119047619047,L1_Contract=one_year|L2_tenure=mid_term,False,1
L1_Contract=one_year|L2_tenure=new,L2,L1_Contract=one_year,68,31,0.08823529411764706,0.12903225806451613,0.3,0.1,0.3709677419354839,0.3333333333333333,0.5,0.25,0.22580645161290322,0.06451612903225806,31,False,,f1_regret_bnd,-0.15053763440860218,-0.6904761904761905,0.5399385560675882,L1_Contract=one_year|L2_tenure=new,False,1
