bucket_id,parent_id,level,n_train,n_val,BAC,F1,AUC,Regret,BND_ratio,POS_coverage,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket
ROOT,,0,984,421,0.6447407583784749,0.6265060240963856,0.8350943508542176,0.42636579572446553,0.2209026128266033,0.33729216152019004,f1_regret_bnd,,,,False,ROOT
L1_Contract=month_to_month,ROOT,1,539,256,0.3870967741935484,0.5806451612903225,0.6815093343888119,0.603515625,0.39453125,0.60546875,f1_regret_bnd,,,,False,L1_Contract=month_to_month
L1_Contract=one_year,ROOT,1,206,163,0.5287356321839081,0.3,0.6379310344827586,0.4539877300613497,0.17177914110429449,0.13496932515337423,f1_regret_bnd,,,,False,L1_Contract=one_year
L1_Contract=two_year,ROOT,1,273,135,0.5,0.0,0.9253731343283582,0.037037037037037035,0.0,0.0,f1_regret_bnd,,,,False,L1_Contract=two_year
L1_Contract=month_to_month|L2_tenure=long_term,L1_Contract=month_to_month,2,79,29,0.69,0.4444444444444445,0.66,0.4482758620689655,0.0,0.1724137931034483,f1_regret_bnd,,,,False,L1_Contract=month_to_month|L2_tenure=long_term
L1_Contract=month_to_month|L2_tenure=mid_term,L1_Contract=month_to_month,2,173,77,0.6355263157894737,0.5573770491803278,0.7324561403508771,0.5194805194805194,0.12987012987012986,0.5324675324675324,f1_regret_bnd,,,,False,L1_Contract=month_to_month|L2_tenure=mid_term
L1_Contract=month_to_month|L2_tenure=new,L1_Contract=month_to_month,2,281,115,0.41964285714285715,0.706766917293233,0.7132263922518159,0.5043478260869565,0.33043478260869563,0.6695652173913044,f1_regret_bnd,,,,False,L1_Contract=month_to_month|L2_tenure=new
L1_Contract=month_to_month|L2_tenure=short_term,L1_Contract=month_to_month,2,146,64,0.7159090909090908,0.6666666666666665,0.8011363636363636,0.46875,0.09375,0.390625,f1_regret_bnd,,,,False,L1_Contract=month_to_month|L2_tenure=short_term
L1_Contract=one_year|L2_tenure=long_term,L1_Contract=one_year,2,106,87,0.4358974358974359,0.0,0.7307692307692308,0.41379310344827586,0.16091954022988506,0.0,f1_regret_bnd,,,,False,L1_Contract=one_year|L2_tenure=long_term
L1_Contract=one_year|L2_tenure=mid_term,L1_Contract=one_year,2,115,91,0.5995934959349594,0.4,0.7899728997289972,0.32967032967032966,0.10989010989010989,0.06593406593406594,f1_regret_bnd,,,,False,L1_Contract=one_year|L2_tenure=mid_term
L1_Contract=one_year|L2_tenure=new,L1_Contract=one_year,2,81,43,0.6473684210526316,0.3636363636363636,0.6157894736842106,0.4418604651162791,0.0,0.13953488372093023,f1_regret_bnd,,,,False,L1_Contract=one_year|L2_tenure=new
L1_Contract=one_year|L2_tenure=short_term,L1_Contract=one_year,2,88,52,0.5579710144927537,0.4,0.7608695652173914,0.36538461538461536,0.19230769230769232,0.07692307692307693,f1_regret_bnd,,,,False,L1_Contract=one_year|L2_tenure=short_term
L1_Contract=two_year|L2_tenure=long_term,L1_Contract=two_year,2,138,57,0.5,0.0,0.4285714285714286,0.08771929824561403,0.0,0.0,f1_regret_bnd,,,,False,L1_Contract=two_year|L2_tenure=long_term
L1_Contract=two_year|L2_tenure=mid_term,L1_Contract=two_year,2,124,103,0.5,0.0,0.597938144329897,0.2912621359223301,0.0,0.0,f1_regret_bnd,,,,False,L1_Contract=two_year|L2_tenure=mid_term
L1_Contract=two_year|L2_tenure=new,L1_Contract=two_year,2,46,22,,,,,,,f1_regret_bnd,,,,False,L1_Contract=two_year|L2_tenure=new
L1_Contract=two_year|L2_tenure=short_term,L1_Contract=two_year,2,68,22,,,,,,,f1_regret_bnd,,,,False,L1_Contract=two_year|L2_tenure=short_term
