fold,model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
1,BTTWD,0.47058823529411764,0.8556149732620321,0.6072106261859582,0.7538944431527552,0.8400204086904853,0.4487153711767511,0.4026029089166221,0.10574875798438609,0.3988644428672818,0.4233498935415188
2,BTTWD,0.4553191489361702,0.8582887700534759,0.5949953660797034,0.7436371386499263,0.8294337234234933,0.43032697829528727,0.3799083759747264,0.1540099361249113,0.42796309439318664,0.4297374024130589
3,BTTWD,0.4772727272727273,0.8422459893048129,0.6092843326885881,0.7544563279857397,0.8415704358159601,0.45033567306946926,0.409031732947408,0.1376863023420866,0.44286728176011353,0.42796309439318664
4,BTTWD,0.47172619047619047,0.8498659517426274,0.6066985645933014,0.753435391330251,0.8199013093989199,0.4478146582747087,0.4034439532889095,0.1328125,0.42045454545454547,0.44921875
5,BTTWD,0.4689863842662632,0.8288770053475936,0.5990338164251208,0.7447092957105472,0.8207987256798269,0.4331272445825425,0.3931362244664808,0.13068181818181818,0.4431818181818182,0.45170454545454547
1,LogReg,0.48306332842415317,0.8770053475935828,0.6229819563152896,0.768937456405487,0.854588080291405,0.47532531807356787,0.4267456458133708,0.0,,0.41234918381831087
2,LogReg,0.4602272727272727,0.8663101604278075,0.6011131725417439,0.7495802009868506,0.84548037923997,0.4408239824525388,0.38943475325251187,0.0,,0.44712562100780695
3,LogReg,0.4895833333333333,0.8796791443850267,0.6290630975143404,0.7741390891007259,0.8636931979642977,0.4847173404308335,0.43707203153348884,0.0,,0.40312278211497515
4,LogReg,0.4630177514792899,0.839142091152815,0.5967588179218303,0.7442087267358277,0.8253940500705857,0.4314066916402781,0.38769769794468156,0.0,,0.4708806818181818
5,LogReg,0.4603174603174603,0.8529411764705882,0.5979381443298968,0.7456195244055068,0.8364885342214959,0.4339795988501557,0.3861288735858337,0.0,,0.4609375
1,RandomForest,0.4698972099853157,0.8556149732620321,0.6066350710900473,0.7534113513653156,0.8385956754243199,0.44783990698047144,0.401565028190362,0.0,,0.4478353442157559
2,RandomForest,0.4479315263908702,0.839572192513369,0.5841860465116279,0.7328295745175541,0.8204577746777234,0.41124296183209225,0.36402521591353154,0.0,,0.48757984386089426
3,RandomForest,0.4669603524229075,0.8502673796791443,0.6028436018957346,0.7497713709989924,0.8388113875326151,0.441407170404615,0.3957969802693052,0.0,,0.45635202271114267
4,RandomForest,0.45427728613569324,0.8257372654155496,0.5861084681255947,0.7341246713551177,0.8049785652303428,0.41354758615707576,0.37118334325783864,0.0,,0.49360795454545453
5,RandomForest,0.4696048632218845,0.8262032085561497,0.5988372093023255,0.74433951530322,0.8203436113323472,0.43258972095367937,0.3933510394724792,0.0,,0.4786931818181818
1,KNN,0.4637904468412943,0.8048128342245989,0.5884652981427175,0.7342904750833139,0.8016882378774961,0.4151083411446106,0.37948020565821605,0.0,,0.5060326472675657
2,KNN,0.4455882352941177,0.8101604278074866,0.5749525616698292,0.722954610039009,0.7981761347490248,0.3940344631293522,0.353541312064364,0.0,,0.5195173882185947
3,KNN,0.4726134585289515,0.8074866310160428,0.5962487660414609,0.7409413831408717,0.8123369242295073,0.42741679075780137,0.3929698897661019,0.0,,0.49467707594038324
4,KNN,0.44745222929936307,0.7533512064343163,0.5614385614385614,0.7090427529756123,0.7614705158591393,0.37116120790801876,0.34307698847936063,0.0,,0.5731534090909091
5,KNN,0.45709828393135726,0.7834224598930482,0.5773399014778325,0.7234326999658665,0.7762143278271394,0.39632010379769145,0.3639438446925821,0.0,,0.5348011363636364
1,XGBoost,0.4952681388012618,0.839572192513369,0.6230158730158729,0.7651967242760082,0.8479384639231187,0.47076985619213607,0.4340408439389455,0.0,,0.44002838892831797
2,XGBoost,0.46676737160120846,0.8262032085561497,0.5965250965250966,0.7425702033118913,0.8282944534862693,0.4292241292291836,0.3893906783280874,0.0,,0.48119233498935415
3,XGBoost,0.48753894080996885,0.8368983957219251,0.6161417322834646,0.7595119997933297,0.8423816166782918,0.46018050887280876,0.4223758787715699,0.0,,0.44996451383960256
4,XGBoost,0.4776579352850539,0.8310991957104558,0.6066536203522505,0.7517814819131989,0.8225913406120888,0.4457949407769255,0.4072025990184558,0.0,,0.46448863636363635
5,XGBoost,0.482484076433121,0.8101604278074866,0.6047904191616766,0.7479235407896234,0.832011088240466,0.440571813392978,0.40751823452403213,0.0,,0.48295454545454547
