bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=fiber,3,92,92,0,0,L1_Contract=month_to_month|L2_tenure=long_term,False,L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=others,3,16,16,0,0,L1_Contract=month_to_month|L2_tenure=long_term,False,L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=others
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl,3,286,286,0,0,L1_Contract=month_to_month|L2_tenure=mid_term,False,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber,3,695,695,0,0,L1_Contract=month_to_month|L2_tenure=mid_term,False,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=others,3,55,55,0,0,L1_Contract=month_to_month|L2_tenure=mid_term,False,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=others
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=dsl,3,690,690,0,0,L1_Contract=month_to_month|L2_tenure=new,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=dsl
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,3,916,916,0,0,L1_Contract=month_to_month|L2_tenure=new,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=no_internet,3,388,388,0,0,L1_Contract=month_to_month|L2_tenure=new,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=no_internet
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=dsl,3,232,232,0,0,L1_Contract=month_to_month|L2_tenure=short_term,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=dsl
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber,3,425,425,0,0,L1_Contract=month_to_month|L2_tenure=short_term,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=no_internet,3,80,80,0,0,L1_Contract=month_to_month|L2_tenure=short_term,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=no_internet
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=dsl,3,86,86,0,0,L1_Contract=one_year|L2_tenure=long_term,False,L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=dsl
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=fiber,3,200,200,0,0,L1_Contract=one_year|L2_tenure=long_term,False,L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=fiber
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=others,3,27,27,0,0,L1_Contract=one_year|L2_tenure=long_term,False,L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=others
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=dsl,3,363,363,0,0,L1_Contract=one_year|L2_tenure=mid_term,False,L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=dsl
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=fiber,3,309,309,0,0,L1_Contract=one_year|L2_tenure=mid_term,False,L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=fiber
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=no_internet,3,167,167,0,0,L1_Contract=one_year|L2_tenure=mid_term,False,L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=no_internet
L1_Contract=one_year|L2_tenure=new|L3_InternetService=no_internet,3,75,75,0,0,L1_Contract=one_year|L2_tenure=new,False,L1_Contract=one_year|L2_tenure=new|L3_InternetService=no_internet
L1_Contract=one_year|L2_tenure=new|L3_InternetService=others,3,49,49,0,0,L1_Contract=one_year|L2_tenure=new,False,L1_Contract=one_year|L2_tenure=new|L3_InternetService=others
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=dsl,3,79,79,0,0,L1_Contract=one_year|L2_tenure=short_term,False,L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=dsl
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=no_internet,3,95,95,0,0,L1_Contract=one_year|L2_tenure=short_term,False,L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=no_internet
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=others,3,23,23,0,0,L1_Contract=one_year|L2_tenure=short_term,False,L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=others
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=dsl,3,402,402,0,0,L1_Contract=two_year|L2_tenure=long_term,False,L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=dsl
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=fiber,3,336,336,0,0,L1_Contract=two_year|L2_tenure=long_term,False,L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=fiber
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=no_internet,3,248,248,0,0,L1_Contract=two_year|L2_tenure=long_term,False,L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=no_internet
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=dsl,3,183,183,0,0,L1_Contract=two_year|L2_tenure=mid_term,False,L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=dsl
