bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=fiber,3,92,0,92,0,L1_Contract=month_to_month|L2_tenure=long_term,True,L1_Contract=month_to_month|L2_tenure=long_term
L1_Contract=month_to_month|L2_tenure=long_term,2,0,108,0,108,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=long_term
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=others,3,16,0,16,0,L1_Contract=month_to_month|L2_tenure=long_term,True,L1_Contract=month_to_month|L2_tenure=long_term
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl,3,286,0,286,0,L1_Contract=month_to_month|L2_tenure=mid_term,True,L1_Contract=month_to_month|L2_tenure=mid_term
L1_Contract=month_to_month|L2_tenure=mid_term,2,0,1036,0,1036,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=mid_term
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber,3,695,0,695,0,L1_Contract=month_to_month|L2_tenure=mid_term,True,L1_Contract=month_to_month|L2_tenure=mid_term
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=others,3,55,0,55,0,L1_Contract=month_to_month|L2_tenure=mid_term,True,L1_Contract=month_to_month|L2_tenure=mid_term
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=dsl,3,690,0,690,0,L1_Contract=month_to_month|L2_tenure=new,True,L1_Contract=month_to_month|L2_tenure=new
L1_Contract=month_to_month|L2_tenure=new,2,0,1078,0,1078,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=new
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,3,916,916,0,0,L1_Contract=month_to_month|L2_tenure=new,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=no_internet,3,388,0,388,0,L1_Contract=month_to_month|L2_tenure=new,True,L1_Contract=month_to_month|L2_tenure=new
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=dsl,3,232,0,232,0,L1_Contract=month_to_month|L2_tenure=short_term,True,L1_Contract=month_to_month|L2_tenure=short_term
L1_Contract=month_to_month|L2_tenure=short_term,2,0,312,0,312,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=short_term
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber,3,425,425,0,0,L1_Contract=month_to_month|L2_tenure=short_term,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=no_internet,3,80,0,80,0,L1_Contract=month_to_month|L2_tenure=short_term,True,L1_Contract=month_to_month|L2_tenure=short_term
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=dsl,3,86,0,86,0,L1_Contract=one_year|L2_tenure=long_term,True,ROOT
ROOT,0,0,1549,0,1549,ROOT,False,ROOT
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=fiber,3,200,0,200,0,L1_Contract=one_year|L2_tenure=long_term,True,ROOT
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=others,3,27,0,27,0,L1_Contract=one_year|L2_tenure=long_term,True,ROOT
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=dsl,3,363,0,363,0,L1_Contract=one_year|L2_tenure=mid_term,True,L1_Contract=one_year|L2_tenure=mid_term
L1_Contract=one_year|L2_tenure=mid_term,2,0,839,0,839,L1_Contract=one_year,False,L1_Contract=one_year|L2_tenure=mid_term
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=fiber,3,309,0,309,0,L1_Contract=one_year|L2_tenure=mid_term,True,L1_Contract=one_year|L2_tenure=mid_term
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=no_internet,3,167,0,167,0,L1_Contract=one_year|L2_tenure=mid_term,True,L1_Contract=one_year|L2_tenure=mid_term
L1_Contract=one_year|L2_tenure=new|L3_InternetService=no_internet,3,75,0,75,0,L1_Contract=one_year|L2_tenure=new,True,L1_Contract=one_year|L2_tenure=new
L1_Contract=one_year|L2_tenure=new,2,0,124,0,124,L1_Contract=one_year,False,L1_Contract=one_year|L2_tenure=new
L1_Contract=one_year|L2_tenure=new|L3_InternetService=others,3,49,0,49,0,L1_Contract=one_year|L2_tenure=new,True,L1_Contract=one_year|L2_tenure=new
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=dsl,3,79,0,79,0,L1_Contract=one_year|L2_tenure=short_term,True,L1_Contract=one_year|L2_tenure=short_term
L1_Contract=one_year|L2_tenure=short_term,2,0,197,0,197,L1_Contract=one_year,False,L1_Contract=one_year|L2_tenure=short_term
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=no_internet,3,95,0,95,0,L1_Contract=one_year|L2_tenure=short_term,True,L1_Contract=one_year|L2_tenure=short_term
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=others,3,23,0,23,0,L1_Contract=one_year|L2_tenure=short_term,True,L1_Contract=one_year|L2_tenure=short_term
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=dsl,3,402,0,402,0,L1_Contract=two_year|L2_tenure=long_term,True,ROOT
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=fiber,3,336,0,336,0,L1_Contract=two_year|L2_tenure=long_term,True,ROOT
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=no_internet,3,248,0,248,0,L1_Contract=two_year|L2_tenure=long_term,True,ROOT
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=dsl,3,183,183,0,0,L1_Contract=two_year|L2_tenure=mid_term,False,L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=dsl
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=fiber,3,92,0,92,0,L1_Contract=two_year|L2_tenure=mid_term,True,ROOT
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=no_internet,3,276,276,0,0,L1_Contract=two_year|L2_tenure=mid_term,False,L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=no_internet
L1_Contract=two_year|L2_tenure=new,2,68,0,68,0,L1_Contract=two_year,True,ROOT
L1_Contract=two_year|L2_tenure=short_term|L3_InternetService=no_internet,3,64,0,64,0,L1_Contract=two_year|L2_tenure=short_term,True,ROOT
L1_Contract=two_year|L2_tenure=short_term|L3_InternetService=others,3,26,0,26,0,L1_Contract=two_year|L2_tenure=short_term,True,ROOT
