bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_proto=any|L2_service=-,2,300,0,300,L1_proto=any,True,ROOT,0
ROOT,0,0,120439,0,ROOT,False,ROOT,120439
L1_proto=gre|L2_service=-,2,225,0,225,L1_proto=gre,True,ROOT,0
L1_proto=ipv6|L2_service=-,2,201,0,201,L1_proto=ipv6,True,ROOT,0
L1_proto=mobile|L2_service=-,2,201,0,201,L1_proto=mobile,True,ROOT,0
L1_proto=ospf|L2_service=-,2,2595,2595,0,L1_proto=ospf,False,L1_proto=ospf|L2_service=-,0
L1_proto=others,1,14360,0,14360,ROOT,True,ROOT,0
L1_proto=pim|L2_service=-,2,201,0,201,L1_proto=pim,True,ROOT,0
L1_proto=rsvp|L2_service=-,2,200,0,200,L1_proto=rsvp,True,ROOT,0
L1_proto=sctp|L2_service=-,2,1150,0,1150,L1_proto=sctp,True,ROOT,0
L1_proto=sep|L2_service=-,2,193,0,193,L1_proto=sep,True,ROOT,0
L1_proto=sun-nd|L2_service=-,2,201,0,201,L1_proto=sun-nd,True,ROOT,0
L1_proto=swipe|L2_service=-,2,201,0,201,L1_proto=swipe,True,ROOT,0
L1_proto=tcp|L2_service=-,2,46208,0,46208,L1_proto=tcp,True,ROOT,0
L1_proto=tcp|L2_service=ftp,2,3428,0,3428,L1_proto=tcp,True,ROOT,0
L1_proto=tcp|L2_service=ftp-data,2,3995,0,3995,L1_proto=tcp,True,ROOT,0
L1_proto=tcp|L2_service=http,2,18724,0,18724,L1_proto=tcp,True,ROOT,0
L1_proto=tcp|L2_service=others,2,1428,0,1428,L1_proto=tcp,True,ROOT,0
L1_proto=tcp|L2_service=pop3,2,1105,0,1105,L1_proto=tcp,True,ROOT,0
L1_proto=tcp|L2_service=smtp,2,5058,5058,0,L1_proto=tcp,False,L1_proto=tcp|L2_service=smtp,0
L1_proto=udp|L2_service=-,2,15848,0,15848,L1_proto=udp,True,ROOT,0
L1_proto=udp|L2_service=dns,2,47249,47249,0,L1_proto=udp,False,L1_proto=udp|L2_service=dns,0
L1_proto=udp|L2_service=others,2,186,0,186,L1_proto=udp,True,ROOT,0
L1_proto=unas|L2_service=-,2,12084,0,12084,L1_proto=unas,True,ROOT,0
