bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
ROOT,L1,,42,40,1.0,1.0,0.3,0.1,,,,,,,False,0,65865,0.5505959158885599,,,bac_regret,,0.2753589922847722,,True,ROOT,,,,,,,1,0.5505959158885599
L1_proto=tcp,L1,ROOT,0,35,,0.11428571428571428,0.3,0.1,,,,,,,True,0,34436,0.35442560111511207,,,bac_regret,,0.2753589922847722,,True,ROOT,,,,,,,1,0.35442560111511207
L1_proto=udp,L1,ROOT,39,11,0.9743589743589743,1.0,0.3,0.1,,,,,,,True,0,23564,0.7237735528772704,,,bac_regret,,0.2753589922847722,,True,ROOT,,,,,,,1,0.7237735528772704
L1_proto=tcp|L2_service=-,L2,L1_proto=tcp,18720,4686,0.27286324786324784,0.2797695262483995,0.3,0.1,0.6088348271446863,0.48068034756886674,0.317227916056613,0.9916094584286804,0.0,0.8745198463508322,True,4686,23406,0.2742459198496112,0.5812862106958216,0.5816230754018702,bac_regret,-0.027548616448864638,0.2753589922847722,-0.3029076087336368,True,ROOT,,5926.0,0.2733715828552143,0.0,0.8749578130273371,0.6117111036112048,1,0.2742459198496112
L1_proto=udp|L2_service=dns,L2,L1_proto=udp,13738,3369,0.8557286359004221,0.8557435440783615,0.3,0.1,0.013357079252003561,0.9977442304355371,0.9982638888888888,0.9972251127297953,0.0,0.8548530721282279,False,3369,17107,0.8557315718711639,0.9934685234430869,0.993466739179153,bac_regret,0.9801114441910833,0.2753589922847722,0.7047524519063111,False,L1_proto=udp|L2_service=dns,,4245.0,0.8586572438162544,0.0,0.8574793875147232,0.01154299175500589,1,0.8557315718711639
L1_proto=tcp|L2_service=http,L2,L1_proto=tcp,5275,1359,0.5196208530805687,0.5114054451802796,0.3,0.1,0.48859455481972036,0.6767283349561831,0.5114054451802796,1.0,0.0,1.0,True,1359,6634,0.5179378956888755,0.5,0.5007865996359538,bac_regret,0.011405445180279639,0.2753589922847722,-0.26395354710449254,True,ROOT,,1653.0,0.5069570477918935,0.0,1.0,0.49304295220810646,1,0.5179378956888755
L1_proto=udp|L2_service=-,L2,L1_proto=udp,5092,1315,0.3684210526315789,0.37338403041825097,0.3,0.1,0.49429657794676807,0.6151866151866152,0.44967074317968014,0.9735234215885947,0.0,0.8083650190114069,True,1315,6407,0.3694396753550804,0.6317859826389576,0.6314597215905721,bac_regret,0.1374894046921895,0.2753589922847722,-0.13786958759258267,True,ROOT,,1595.0,0.3811912225705329,0.0,0.8037617554858935,0.490282131661442,1,0.3694396753550804
L1_proto=others,L1,ROOT,3248,810,0.7961822660098522,0.7987654320987654,0.3,0.1,,,,,,,True,0,4058,0.7966978807294234,,,bac_regret,,0.2753589922847722,,True,ROOT,,,,,,,1,0.7966978807294234
L1_proto=unas|L2_service=-,L2,L1_proto=unas,2259,546,1.0,1.0,0.3,0.1,,,,,,,True,0,2805,1.0,,,bac_regret,,0.2753589922847722,,True,ROOT,,710.0,1.0,0.0,1.0,0.0,1,1.0
L1_proto=unas,L1,ROOT,0,0,,,0.3,0.1,,,,,,,True,0,2805,1.0,,,bac_regret,,0.2753589922847722,,True,ROOT,,,,,,,1,1.0
L1_proto=tcp|L2_service=smtp,L2,L1_proto=tcp,1190,257,0.6647058823529411,0.6498054474708171,0.3,0.1,0.35019455252918286,0.7877358490566039,0.6498054474708171,1.0,0.0,1.0,True,257,1447,0.6620594333102972,0.5,0.5004324683965403,bac_regret,0.14980544747081714,0.2753589922847722,-0.12555354481395503,True,ROOT,,404.0,0.6386138613861386,0.0,1.0,0.3613861386138614,1,0.6620594333102972
