bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
L1_proto=ospf|L2_service=-,0.6,0.2,bucket_wise,L1_proto=ospf|L2_service=-,False
L1_proto=tcp|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=tcp|L2_service=ftp,0.6,0.2,bucket_wise,ROOT,True
L1_proto=tcp|L2_service=ftp-data,0.6,0.2,bucket_wise,ROOT,True
L1_proto=tcp|L2_service=http,0.6,0.2,bucket_wise,ROOT,True
L1_proto=tcp|L2_service=smtp,0.6,0.2,bucket_wise,L1_proto=tcp|L2_service=smtp,False
L1_proto=udp|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=udp|L2_service=dns,0.6,0.2,bucket_wise,L1_proto=udp|L2_service=dns,False
ROOT,0.6,0.2,bucket_wise,ROOT,True
L1_proto=any,0.6,0.2,bucket_wise,ROOT,True
L1_proto=gre,0.6,0.2,bucket_wise,ROOT,True
L1_proto=ipv6,0.6,0.2,bucket_wise,ROOT,True
L1_proto=mobile,0.6,0.2,bucket_wise,ROOT,True
L1_proto=ospf,0.6,0.2,bucket_wise,ROOT,True
L1_proto=pim,0.6,0.2,bucket_wise,ROOT,True
L1_proto=rsvp,0.6,0.2,bucket_wise,ROOT,True
L1_proto=sctp,0.6,0.2,bucket_wise,ROOT,True
L1_proto=sep,0.6,0.2,bucket_wise,ROOT,True
L1_proto=sun-nd,0.6,0.2,bucket_wise,ROOT,True
L1_proto=swipe,0.6,0.2,bucket_wise,ROOT,True
L1_proto=tcp,0.6,0.2,bucket_wise,ROOT,True
L1_proto=udp,0.6,0.2,bucket_wise,ROOT,True
L1_proto=unas,0.6,0.2,bucket_wise,ROOT,True
L1_proto=others,0.6,0.2,bucket_wise,ROOT,True
L1_proto=any|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=gre|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=ipv6|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=mobile|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=pim|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=rsvp|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=sctp|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=sep|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=sun-nd|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=swipe|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
L1_proto=tcp|L2_service=pop3,0.6,0.2,bucket_wise,ROOT,True
L1_proto=tcp|L2_service=others,0.6,0.2,bucket_wise,ROOT,True
L1_proto=udp|L2_service=others,0.6,0.2,bucket_wise,ROOT,True
L1_proto=unas|L2_service=-,0.6,0.2,bucket_wise,ROOT,True
