bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,82332,205,113,,False,False,ROOT
L1_proto=any,ROOT,1,L1_proto,categorical_group,any,96,0,17,,False,True,ROOT
L1_proto=gre,ROOT,1,L1_proto,categorical_group,gre,88,0,12,,False,True,ROOT
L1_proto=ipv6,ROOT,1,L1_proto,categorical_group,ipv6,61,0,9,,False,True,ROOT
L1_proto=mobile,ROOT,1,L1_proto,categorical_group,mobile,52,42,10,,False,True,ROOT
L1_proto=ospf,ROOT,1,L1_proto,categorical_group,ospf,676,0,0,,False,True,ROOT
L1_proto=pim,ROOT,1,L1_proto,categorical_group,pim,52,33,19,,False,True,ROOT
L1_proto=rsvp,ROOT,1,L1_proto,categorical_group,rsvp,64,0,12,,False,True,ROOT
L1_proto=sctp,ROOT,1,L1_proto,categorical_group,sctp,324,0,0,,False,True,ROOT
L1_proto=sep,ROOT,1,L1_proto,categorical_group,sep,58,45,13,,False,True,ROOT
L1_proto=sun-nd,ROOT,1,L1_proto,categorical_group,sun-nd,54,41,13,,False,True,ROOT
L1_proto=swipe,ROOT,1,L1_proto,categorical_group,swipe,52,44,8,,False,True,ROOT
L1_proto=tcp,ROOT,1,L1_proto,categorical_group,tcp,43095,0,0,,False,True,ROOT
L1_proto=udp,ROOT,1,L1_proto,categorical_group,udp,29418,45,19,,False,True,ROOT
L1_proto=unas,ROOT,1,L1_proto,categorical_group,unas,3515,0,0,,False,True,ROOT
L1_proto=others,ROOT,1,L1_proto,categorical_group,others,4727,3771,956,,True,True,ROOT
L1_proto=any|L2_service=-,L1_proto=any,2,L2_service,categorical_group,-,96,79,17,,True,True,ROOT
L1_proto=gre|L2_service=-,L1_proto=gre,2,L2_service,categorical_group,-,88,76,12,,True,True,ROOT
L1_proto=ipv6|L2_service=-,L1_proto=ipv6,2,L2_service,categorical_group,-,61,52,9,,True,True,ROOT
L1_proto=mobile|L2_service=-,L1_proto=mobile,2,L2_service,categorical_group,-,52,42,10,,True,True,ROOT
L1_proto=ospf|L2_service=-,L1_proto=ospf,2,L2_service,categorical_group,-,676,535,141,,True,False,L1_proto=ospf|L2_service=-
L1_proto=pim|L2_service=-,L1_proto=pim,2,L2_service,categorical_group,-,52,33,19,,True,True,ROOT
L1_proto=rsvp|L2_service=-,L1_proto=rsvp,2,L2_service,categorical_group,-,64,52,12,,True,True,ROOT
L1_proto=sctp|L2_service=-,L1_proto=sctp,2,L2_service,categorical_group,-,324,260,64,,True,True,ROOT
L1_proto=sep|L2_service=-,L1_proto=sep,2,L2_service,categorical_group,-,58,45,13,,True,True,ROOT
L1_proto=sun-nd|L2_service=-,L1_proto=sun-nd,2,L2_service,categorical_group,-,54,41,13,,True,True,ROOT
L1_proto=swipe|L2_service=-,L1_proto=swipe,2,L2_service,categorical_group,-,52,44,8,,True,True,ROOT
L1_proto=tcp|L2_service=-,L1_proto=tcp,2,L2_service,categorical_group,-,29332,23488,5844,,True,True,ROOT
L1_proto=tcp|L2_service=ftp,L1_proto=tcp,2,L2_service,categorical_group,ftp,1552,1223,329,,True,True,ROOT
L1_proto=tcp|L2_service=ftp-data,L1_proto=tcp,2,L2_service,categorical_group,ftp-data,1396,1099,297,,True,True,ROOT
L1_proto=tcp|L2_service=http,L1_proto=tcp,2,L2_service,categorical_group,http,8287,6613,1674,,True,True,ROOT
L1_proto=tcp|L2_service=pop3,L1_proto=tcp,2,L2_service,categorical_group,pop3,423,328,95,,True,True,ROOT
L1_proto=tcp|L2_service=smtp,L1_proto=tcp,2,L2_service,categorical_group,smtp,1851,1500,351,,True,False,L1_proto=tcp|L2_service=smtp
L1_proto=tcp|L2_service=others,L1_proto=tcp,2,L2_service,categorical_group,others,254,194,60,,True,True,ROOT
L1_proto=udp|L2_service=-,L1_proto=udp,2,L2_service,categorical_group,-,8002,6397,1605,,True,True,ROOT
L1_proto=udp|L2_service=dns,L1_proto=udp,2,L2_service,categorical_group,dns,21352,17111,4241,,True,False,L1_proto=udp|L2_service=dns
L1_proto=udp|L2_service=others,L1_proto=udp,2,L2_service,categorical_group,others,64,45,19,,True,True,ROOT
L1_proto=unas|L2_service=-,L1_proto=unas,2,L2_service,categorical_group,-,3515,2837,678,,True,True,ROOT
