fold,model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
1,BTTWD,0.6190867955573838,0.9959192676739825,0.7635395087303937,0.6225542284315859,0.8806569487210824,0.38330409683754163,0.2631500158806891,0.5272970182789822,0.35847452480719016,0.6475071354830874
2,BTTWD,0.6221716335540839,0.9947060769824638,0.7655222170351822,0.6272854709236644,0.8816043925253145,0.3901118070338775,0.2729813350343204,0.5210420841683366,0.3592639825104755,0.6437723932713912
3,BTTWD,0.6237049316203895,0.9960291197882197,0.7670744138634047,0.6299064517860018,0.887704707520227,0.3966632423398693,0.27852948513878284,0.5203449532369732,0.358921413822422,0.638679703631726
4,BTTWD,0.6185517572103857,0.9959188175601147,0.7631323162743524,0.6217431925638411,0.8811282278307427,0.3818228760367817,0.2614409479529298,0.5271468480505284,0.3593465322482692,0.6452690392323576
5,BTTWD,0.6201896646509071,0.9954776086476946,0.7642476077567956,0.6242928583779014,0.8791010442937975,0.3858047575113299,0.2667562635237837,0.531215838697923,0.352544637434714,0.6527389772865299
1,LogReg,0.8589465629384007,0.7428035733980368,0.7966643009226402,0.7966720569692887,0.8803309670650026,0.5909678465185728,0.5844430294746865,0.0,,0.7752474646262222
2,LogReg,0.8575047498416719,0.7466637255983236,0.7982549227685415,0.7973183492856484,0.8803756270884319,0.5920825040958222,0.5861034933524415,0.0,,0.7657739721867979
3,LogReg,0.8687396457244807,0.7519302889918377,0.8061254656181636,0.8063705499013243,0.886769121040299,0.610267809480296,0.6036051395467101,0.0,,0.7454755253249119
4,LogReg,0.8616858237547893,0.7442091330244871,0.7986505681818181,0.7989288908365679,0.8812837390666641,0.5955036198283291,0.5888212963659467,0.0,,0.7699502004129721
5,LogReg,0.8579828710213473,0.7403485550408119,0.7948368760731838,0.7951067099528384,0.8780639350468934,0.587914099401379,0.581242722167411,0.0,,0.782278634762541
1,RandomForest,0.8590364516951313,0.7433550237123635,0.7970200437533258,0.796947782126452,0.8812197410270092,0.5915000352887984,0.5850219993455483,0.0,,0.7737292767352888
2,RandomForest,0.8574863941273256,0.7472151759126503,0.7985619990570485,0.7975265068752441,0.8815477198274706,0.5924794081848923,0.5865569260562663,0.0,,0.7643165118115018
3,RandomForest,0.8687460216422661,0.7527024045885727,0.8065717156196442,0.8066890401321243,0.8877785205788185,0.6108746171583659,0.6042917529471823,0.0,,0.7434106643993684
4,RandomForest,0.8608739966874761,0.7453121553055372,0.7989358557493348,0.7988722938689847,0.8820339730862563,0.5953250521861866,0.5888466299916679,0.0,,0.7674602210615814
5,RandomForest,0.8578907048008172,0.7411206706375468,0.7952420404781632,0.7953576326160707,0.8792307090346468,0.5883822323827225,0.5818009668813299,0.0,,0.78027450504069
1,KNN,0.7729196050775741,0.6648284989522444,0.7148108620894106,0.71275208731396,0.7470276455456228,0.42390894571710686,0.4189056664801931,0.0,,1.0303030303030303
2,KNN,0.7627502833396298,0.6680269107753392,0.7122530573847602,0.7067161580903722,0.7541906125271627,0.41156821387038384,0.40772909308523864,0.0,,1.0283597498026356
3,KNN,0.7673417721518987,0.6686521067725568,0.7146056819521395,0.7101368641970892,0.7757972466178953,0.41845944946724145,0.41427601229614996,0.0,,1.0238066318474432
4,KNN,0.8184519789274618,0.6683212000882418,0.7358066670714677,0.7433497892333101,0.7606920495942666,0.4866814828734965,0.4768532445876028,0.0,,0.9947163852787563
5,KNN,0.772951244813278,0.6575115817339511,0.7105733698891405,0.7104449800561647,0.7453538018495002,0.4195710376546326,0.41393100257208393,0.0,,1.0491922749908904
1,XGBoost,0.8590005099439062,0.7431344435866328,0.796877771864467,0.7968374920635867,0.8811870713219008,0.591287137178517,0.5847904028956369,0.0,,0.7743365518916621
2,XGBoost,0.8575949367088608,0.7472151759126503,0.7986090646549184,0.7975940744428116,0.881639894002307,0.5926168746700272,0.5866829477181987,0.0,,0.7642557842958645
3,XGBoost,0.8687460216422661,0.7527024045885727,0.8065717156196442,0.8066890401321243,0.8877896104244548,0.6108746171583659,0.6042917529471823,0.0,,0.7434106643993684
4,XGBoost,0.8608739966874761,0.7453121553055372,0.7989358557493348,0.7988722938689847,0.8820535591845982,0.5953250521861866,0.5888466299916679,0.0,,0.7674602210615814
5,XGBoost,0.8578907048008172,0.7411206706375468,0.7952420404781632,0.7953576326160707,0.8792839373125608,0.5883822323827225,0.5818009668813299,0.0,,0.78027450504069
test,BTTWD,0.7531999518661372,0.9965141904291065,0.8579395023698392,0.6503285237859818,0.8943991554961951,0.46828039249493236,0.36786347365492855,0.47068284086437284,0.429688435676767,0.6218397294414884
test,random_forest,0.915299957947424,0.7477648084061639,0.8230937381824219,0.800150261345939,0.8944256673852958,0.563312480062308,0.5439887373908938,0.0,,0.9054813192579032
test,knn,0.8166573915600029,0.6517123201582021,0.7249205417144349,0.6699543743648153,0.6716720329918947,0.31814216910396026,0.30506256253043607,0.0,,1.2848449592508313
test,logreg,0.9150566837438018,0.7453347969264544,0.8215214249100656,0.7989441841775129,0.8915357739137668,0.5608408125884407,0.5411266340083448,0.0,,0.9137452164639189
test,xgb,0.915299957947424,0.7477648084061639,0.8230937381824219,0.800150261345939,0.8944130064119983,0.563312480062308,0.5439887373908938,0.0,,0.9054813192579032
