bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_Location=Canberra|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.7658730158730158,0.0,0.0,0.17777777777777778,0.06666666666666667,0.0,90,0.4,0.2
L1_Location=MountGambier|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_low,0.8333333333333334,1.0,0.9090909090909091,0.9444444444444444,0.9777777777777777,0.8606629658238705,0.851063829787234,0.17857142857142858,0.21428571428571427,0.42857142857142855,14,0.4,0.2
L1_Location=Perth|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,1.0,0.25,0.4,0.625,0.9537037037037037,0.4945353550468402,0.39301310043668125,0.07913669064748201,0.02877697841726619,0.007194244604316547,139,0.4,0.2
L1_Location=Cobar|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.7613259668508288,0.0,0.0,0.08064516129032258,0.0,0.0,186,0.4,0.2
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.4166666666666667,0.12195121951219512,0.18867924528301888,0.5462076772666461,0.7603169702583101,0.16124222929236948,0.13061818181818174,0.3723021582733813,0.06115107913669065,0.04316546762589928,278,0.4,0.2
L1_Location=WaggaWagga|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,44,0.4,0.2
L1_Location=SydneyAirport|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_mid,1.0,0.5,0.6666666666666666,0.75,0.875,0.6666666666666666,0.6153846153846154,0.4,0.2,0.1,10,0.4,0.2
L1_Location=Hobart|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_mid,0.5,0.5,0.5,0.7023809523809523,0.9166666666666667,0.40476190476190477,0.40476190476190477,0.2,0.16,0.16,25,0.4,0.2
L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.9891696750902527,0.0,0.0,0.01079136690647482,0.0,0.0,278,0.4,0.2
L1_Location=Nuriootpa|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.5512820512820512,0.0,0.0,0.13636363636363635,0.03636363636363636,0.0,55,0.4,0.2
