bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_Location=Adelaide|L2_RainToday=others,2,15,0,15,L1_Location=Adelaide,True,ROOT,0
ROOT,0,1419,6613,0,ROOT,False,ROOT,5194
L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,238,0,238,L1_Location=Adelaide|L2_RainToday=rain_today_no,True,L1_Location=Adelaide|L2_RainToday=rain_today_no,0
L1_Location=Adelaide|L2_RainToday=rain_today_no,2,0,455,0,L1_Location=Adelaide,False,L1_Location=Adelaide|L2_RainToday=rain_today_no,455
L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,197,0,197,L1_Location=Adelaide|L2_RainToday=rain_today_no,True,L1_Location=Adelaide|L2_RainToday=rain_today_no,0
L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,20,0,20,L1_Location=Adelaide|L2_RainToday=rain_today_no,True,L1_Location=Adelaide|L2_RainToday=rain_today_no,0
L1_Location=Adelaide|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,86,0,86,L1_Location=Adelaide|L2_RainToday=rain_today_yes,True,ROOT,0
L1_Location=Adelaide|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,42,0,42,L1_Location=Adelaide|L2_RainToday=rain_today_yes,True,ROOT,0
L1_Location=Albany|L2_RainToday=others,2,1,0,1,L1_Location=Albany,True,L1_Location=Albany,0
L1_Location=Albany,1,0,116,0,ROOT,False,L1_Location=Albany,116
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,3,120,120,0,L1_Location=Albany|L2_RainToday=rain_today_no,False,L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,171,171,0,L1_Location=Albany|L2_RainToday=rain_today_no,False,L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,11,0,11,L1_Location=Albany|L2_RainToday=rain_today_no,True,L1_Location=Albany,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=unknown,3,104,0,104,L1_Location=Albany|L2_RainToday=rain_today_no,True,L1_Location=Albany,0
L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,77,0,77,L1_Location=Albany|L2_RainToday=rain_today_yes,True,L1_Location=Albany|L2_RainToday=rain_today_yes,0
L1_Location=Albany|L2_RainToday=rain_today_yes,2,0,181,0,L1_Location=Albany,False,L1_Location=Albany|L2_RainToday=rain_today_yes,181
L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,104,0,104,L1_Location=Albany|L2_RainToday=rain_today_yes,True,L1_Location=Albany|L2_RainToday=rain_today_yes,0
L1_Location=Albury|L2_RainToday=others,2,3,0,3,L1_Location=Albury,True,L1_Location=Albury,0
L1_Location=Albury,1,0,602,0,ROOT,False,L1_Location=Albury,602
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,211,0,211,L1_Location=Albury|L2_RainToday=rain_today_no,True,L1_Location=Albury,0
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,215,0,215,L1_Location=Albury|L2_RainToday=rain_today_no,True,L1_Location=Albury,0
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,42,0,42,L1_Location=Albury|L2_RainToday=rain_today_no,True,L1_Location=Albury,0
L1_Location=Albury|L2_RainToday=rain_today_yes,2,131,0,131,L1_Location=Albury,True,L1_Location=Albury,0
L1_Location=AliceSprings|L2_RainToday=others,2,42,0,42,L1_Location=AliceSprings,True,L1_Location=AliceSprings,0
L1_Location=AliceSprings,1,0,616,0,ROOT,False,L1_Location=AliceSprings,616
L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,529,0,529,L1_Location=AliceSprings|L2_RainToday=rain_today_no,True,L1_Location=AliceSprings,0
L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,45,0,45,L1_Location=AliceSprings|L2_RainToday=rain_today_no,True,L1_Location=AliceSprings,0
L1_Location=BadgerysCreek|L2_RainToday=others,2,7,0,7,L1_Location=BadgerysCreek,True,ROOT,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,146,0,146,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,True,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,2,0,445,0,L1_Location=BadgerysCreek,False,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,445
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,268,0,268,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,True,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,31,0,31,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,True,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes,2,113,0,113,L1_Location=BadgerysCreek,True,ROOT,0
L1_Location=Ballarat|L2_RainToday=others,2,1,0,1,L1_Location=Ballarat,True,ROOT,0
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,3,96,96,0,L1_Location=Ballarat|L2_RainToday=rain_today_no,False,L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,0
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,135,0,135,L1_Location=Ballarat|L2_RainToday=rain_today_no,True,L1_Location=Ballarat|L2_RainToday=rain_today_no,0
L1_Location=Ballarat|L2_RainToday=rain_today_no,2,0,341,0,L1_Location=Ballarat,False,L1_Location=Ballarat|L2_RainToday=rain_today_no,341
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,205,0,205,L1_Location=Ballarat|L2_RainToday=rain_today_no,True,L1_Location=Ballarat|L2_RainToday=rain_today_no,0
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,1,0,1,L1_Location=Ballarat|L2_RainToday=rain_today_no,True,L1_Location=Ballarat|L2_RainToday=rain_today_no,0
