bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_Location=Adelaide|L2_RainToday=others,2,70,70,0,L1_Location=Adelaide,False,L1_Location=Adelaide|L2_RainToday=others,0
L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,1210,1210,0,L1_Location=Adelaide|L2_RainToday=rain_today_no,False,L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,0
L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,1019,1019,0,L1_Location=Adelaide|L2_RainToday=rain_today_no,False,L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,0
L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,115,115,0,L1_Location=Adelaide|L2_RainToday=rain_today_no,False,L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=others,0
L1_Location=Adelaide|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,446,446,0,L1_Location=Adelaide|L2_RainToday=rain_today_yes,False,L1_Location=Adelaide|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,0
L1_Location=Adelaide|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,230,230,0,L1_Location=Adelaide|L2_RainToday=rain_today_yes,False,L1_Location=Adelaide|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,0
L1_Location=Albany|L2_RainToday=others,2,20,20,0,L1_Location=Albany,False,L1_Location=Albany|L2_RainToday=others,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,3,588,588,0,L1_Location=Albany|L2_RainToday=rain_today_no,False,L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,988,988,0,L1_Location=Albany|L2_RainToday=rain_today_no,False,L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,46,46,0,L1_Location=Albany|L2_RainToday=rain_today_no,False,L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=others,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=unknown,3,481,481,0,L1_Location=Albany|L2_RainToday=rain_today_no,False,L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=unknown,0
L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high,3,312,312,0,L1_Location=Albany|L2_RainToday=rain_today_yes,False,L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high,0
L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,379,379,0,L1_Location=Albany|L2_RainToday=rain_today_yes,False,L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,0
L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,202,202,0,L1_Location=Albany|L2_RainToday=rain_today_yes,False,L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,0
L1_Location=Albury|L2_RainToday=others,2,20,20,0,L1_Location=Albury,False,L1_Location=Albury|L2_RainToday=others,0
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,1076,1076,0,L1_Location=Albury|L2_RainToday=rain_today_no,False,L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,0
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,1103,1103,0,L1_Location=Albury|L2_RainToday=rain_today_no,False,L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,0
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,197,197,0,L1_Location=Albury|L2_RainToday=rain_today_no,False,L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=others,0
L1_Location=Albury|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,328,328,0,L1_Location=Albury|L2_RainToday=rain_today_yes,False,L1_Location=Albury|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,0
L1_Location=Albury|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,287,287,0,L1_Location=Albury|L2_RainToday=rain_today_yes,False,L1_Location=Albury|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,0
L1_Location=AliceSprings|L2_RainToday=others,2,247,247,0,L1_Location=AliceSprings,False,L1_Location=AliceSprings|L2_RainToday=others,0
L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,2587,2587,0,L1_Location=AliceSprings|L2_RainToday=rain_today_no,False,L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,0
L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,197,197,0,L1_Location=AliceSprings|L2_RainToday=rain_today_no,False,L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=others,0
L1_Location=BadgerysCreek|L2_RainToday=others,2,51,51,0,L1_Location=BadgerysCreek,False,L1_Location=BadgerysCreek|L2_RainToday=others,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,751,751,0,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,False,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,1339,1339,0,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,False,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,215,215,0,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,False,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=others,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,310,310,0,L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes,False,L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,262,262,0,L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes,False,L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,0
L1_Location=Ballarat|L2_RainToday=others,2,11,11,0,L1_Location=Ballarat,False,L1_Location=Ballarat|L2_RainToday=others,0
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,3,494,494,0,L1_Location=Ballarat|L2_RainToday=rain_today_no,False,L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,0
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,676,676,0,L1_Location=Ballarat|L2_RainToday=rain_today_no,False,L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,0
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,1065,1065,0,L1_Location=Ballarat|L2_RainToday=rain_today_no,False,L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,0
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,4,4,0,L1_Location=Ballarat|L2_RainToday=rain_today_no,False,L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=others,0
L1_Location=Ballarat|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high,3,442,442,0,L1_Location=Ballarat|L2_RainToday=rain_today_yes,False,L1_Location=Ballarat|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high,0
L1_Location=Ballarat|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,314,314,0,L1_Location=Ballarat|L2_RainToday=rain_today_yes,False,L1_Location=Ballarat|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,0
L1_Location=Ballarat|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,22,22,0,L1_Location=Ballarat|L2_RainToday=rain_today_yes,False,L1_Location=Ballarat|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,0
L1_Location=Bendigo|L2_RainToday=others,2,4,4,0,L1_Location=Bendigo,False,L1_Location=Bendigo|L2_RainToday=others,0
