bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,142193,19886,8509,,False,False,ROOT
L1_Location=Adelaide,ROOT,1,L1_Location,category_group,Adelaide,3090,475,352,,False,False,L1_Location=Adelaide
L1_Location=Albany,ROOT,1,L1_Location,category_group,Albany,3016,425,422,,False,False,L1_Location=Albany
L1_Location=Albury,ROOT,1,L1_Location,category_group,Albury,3011,435,328,,False,False,L1_Location=Albury
L1_Location=AliceSprings,ROOT,1,L1_Location,category_group,AliceSprings,3031,567,236,,False,False,L1_Location=AliceSprings
L1_Location=BadgerysCreek,ROOT,1,L1_Location,category_group,BadgerysCreek,2928,435,324,,False,False,L1_Location=BadgerysCreek
L1_Location=Ballarat,ROOT,1,L1_Location,category_group,Ballarat,3028,433,356,,False,False,L1_Location=Ballarat
L1_Location=Bendigo,ROOT,1,L1_Location,category_group,Bendigo,3034,422,300,,False,False,L1_Location=Bendigo
L1_Location=Brisbane,ROOT,1,L1_Location,category_group,Brisbane,3161,471,335,,False,False,L1_Location=Brisbane
L1_Location=Cairns,ROOT,1,L1_Location,category_group,Cairns,2988,437,403,,False,False,L1_Location=Cairns
L1_Location=Canberra,ROOT,1,L1_Location,category_group,Canberra,3418,493,344,,False,False,L1_Location=Canberra
L1_Location=Cobar,ROOT,1,L1_Location,category_group,Cobar,2988,634,277,,False,False,L1_Location=Cobar
L1_Location=CoffsHarbour,ROOT,1,L1_Location,category_group,CoffsHarbour,2953,418,394,,False,False,L1_Location=CoffsHarbour
L1_Location=Dartmoor,ROOT,1,L1_Location,category_group,Dartmoor,2943,412,404,,False,False,L1_Location=Dartmoor
L1_Location=Darwin,ROOT,1,L1_Location,category_group,Darwin,3192,437,418,,False,False,L1_Location=Darwin
L1_Location=GoldCoast,ROOT,1,L1_Location,category_group,GoldCoast,2980,437,399,,False,False,L1_Location=GoldCoast
L1_Location=Hobart,ROOT,1,L1_Location,category_group,Hobart,3188,444,379,,False,False,L1_Location=Hobart
L1_Location=Katherine,ROOT,1,L1_Location,category_group,Katherine,1559,371,157,,False,False,L1_Location=Katherine
L1_Location=Launceston,ROOT,1,L1_Location,category_group,Launceston,3028,433,332,,False,False,L1_Location=Launceston
L1_Location=Melbourne,ROOT,1,L1_Location,category_group,Melbourne,2435,421,316,,False,False,L1_Location=Melbourne
L1_Location=MelbourneAirport,ROOT,1,L1_Location,category_group,MelbourneAirport,3009,413,338,,False,False,L1_Location=MelbourneAirport
L1_Location=Mildura,ROOT,1,L1_Location,category_group,Mildura,3007,611,252,,False,False,L1_Location=Mildura
L1_Location=Moree,ROOT,1,L1_Location,category_group,Moree,2854,628,298,,False,False,L1_Location=Moree
L1_Location=MountGambier,ROOT,1,L1_Location,category_group,MountGambier,3030,424,410,,False,False,L1_Location=MountGambier
L1_Location=MountGinini,ROOT,1,L1_Location,category_group,MountGinini,2907,461,369,,False,False,L1_Location=MountGinini
L1_Location=Newcastle,ROOT,1,L1_Location,category_group,Newcastle,2955,426,368,,False,False,L1_Location=Newcastle
L1_Location=Nhil,ROOT,1,L1_Location,category_group,Nhil,1569,356,152,,False,False,L1_Location=Nhil
L1_Location=NorahHead,ROOT,1,L1_Location,category_group,NorahHead,2929,426,399,,False,False,L1_Location=NorahHead
L1_Location=NorfolkIsland,ROOT,1,L1_Location,category_group,NorfolkIsland,2964,419,427,,False,False,L1_Location=NorfolkIsland
L1_Location=Nuriootpa,ROOT,1,L1_Location,category_group,Nuriootpa,3002,420,323,,False,False,L1_Location=Nuriootpa
L1_Location=PearceRAAF,ROOT,1,L1_Location,category_group,PearceRAAF,2762,443,314,,False,False,L1_Location=PearceRAAF
L1_Location=Penrith,ROOT,1,L1_Location,category_group,Penrith,2964,446,340,,False,False,L1_Location=Penrith
