bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_Location=Adelaide|L2_RainToday=others,2,70,0,70,L1_Location=Adelaide,True,ROOT,0
ROOT,0,0,20435,0,ROOT,False,ROOT,20435
L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,1210,0,1210,L1_Location=Adelaide|L2_RainToday=rain_today_no,True,L1_Location=Adelaide|L2_RainToday=rain_today_no,0
L1_Location=Adelaide|L2_RainToday=rain_today_no,2,0,2344,0,L1_Location=Adelaide,False,L1_Location=Adelaide|L2_RainToday=rain_today_no,2344
L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,1019,0,1019,L1_Location=Adelaide|L2_RainToday=rain_today_no,True,L1_Location=Adelaide|L2_RainToday=rain_today_no,0
L1_Location=Adelaide|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,115,0,115,L1_Location=Adelaide|L2_RainToday=rain_today_no,True,L1_Location=Adelaide|L2_RainToday=rain_today_no,0
L1_Location=Adelaide|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,446,0,446,L1_Location=Adelaide|L2_RainToday=rain_today_yes,True,L1_Location=Adelaide|L2_RainToday=rain_today_yes,0
L1_Location=Adelaide|L2_RainToday=rain_today_yes,2,0,676,0,L1_Location=Adelaide,False,L1_Location=Adelaide|L2_RainToday=rain_today_yes,676
L1_Location=Adelaide|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,230,0,230,L1_Location=Adelaide|L2_RainToday=rain_today_yes,True,L1_Location=Adelaide|L2_RainToday=rain_today_yes,0
L1_Location=Albany|L2_RainToday=others,2,20,0,20,L1_Location=Albany,True,ROOT,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,3,588,588,0,L1_Location=Albany|L2_RainToday=rain_today_no,False,L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,988,0,988,L1_Location=Albany|L2_RainToday=rain_today_no,True,L1_Location=Albany|L2_RainToday=rain_today_no,0
L1_Location=Albany|L2_RainToday=rain_today_no,2,0,1515,0,L1_Location=Albany,False,L1_Location=Albany|L2_RainToday=rain_today_no,1515
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,46,0,46,L1_Location=Albany|L2_RainToday=rain_today_no,True,L1_Location=Albany|L2_RainToday=rain_today_no,0
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=unknown,3,481,0,481,L1_Location=Albany|L2_RainToday=rain_today_no,True,L1_Location=Albany|L2_RainToday=rain_today_no,0
L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high,3,312,312,0,L1_Location=Albany|L2_RainToday=rain_today_yes,False,L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high,0
L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,379,0,379,L1_Location=Albany|L2_RainToday=rain_today_yes,True,L1_Location=Albany|L2_RainToday=rain_today_yes,0
L1_Location=Albany|L2_RainToday=rain_today_yes,2,0,581,0,L1_Location=Albany,False,L1_Location=Albany|L2_RainToday=rain_today_yes,581
L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,202,0,202,L1_Location=Albany|L2_RainToday=rain_today_yes,True,L1_Location=Albany|L2_RainToday=rain_today_yes,0
L1_Location=Albury|L2_RainToday=others,2,20,0,20,L1_Location=Albury,True,L1_Location=Albury,0
L1_Location=Albury,1,0,2396,0,ROOT,False,L1_Location=Albury,2396
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,1076,0,1076,L1_Location=Albury|L2_RainToday=rain_today_no,True,L1_Location=Albury,0
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,1103,0,1103,L1_Location=Albury|L2_RainToday=rain_today_no,True,L1_Location=Albury,0
L1_Location=Albury|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,197,0,197,L1_Location=Albury|L2_RainToday=rain_today_no,True,L1_Location=Albury,0
L1_Location=Albury|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,328,0,328,L1_Location=Albury|L2_RainToday=rain_today_yes,True,L1_Location=Albury|L2_RainToday=rain_today_yes,0
L1_Location=Albury|L2_RainToday=rain_today_yes,2,0,615,0,L1_Location=Albury,False,L1_Location=Albury|L2_RainToday=rain_today_yes,615
L1_Location=Albury|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,287,0,287,L1_Location=Albury|L2_RainToday=rain_today_yes,True,L1_Location=Albury|L2_RainToday=rain_today_yes,0
L1_Location=AliceSprings|L2_RainToday=others,2,247,0,247,L1_Location=AliceSprings,True,L1_Location=AliceSprings,0
L1_Location=AliceSprings,1,0,3031,0,ROOT,False,L1_Location=AliceSprings,3031
L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,2587,0,2587,L1_Location=AliceSprings|L2_RainToday=rain_today_no,True,L1_Location=AliceSprings,0
L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,197,0,197,L1_Location=AliceSprings|L2_RainToday=rain_today_no,True,L1_Location=AliceSprings,0
L1_Location=BadgerysCreek|L2_RainToday=others,2,51,0,51,L1_Location=BadgerysCreek,True,ROOT,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low,3,751,0,751,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,True,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,2,0,2305,0,L1_Location=BadgerysCreek,False,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,2305
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid,3,1339,0,1339,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,True,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_no|L3_Humidity3pm=others,3,215,0,215,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,True,L1_Location=BadgerysCreek|L2_RainToday=rain_today_no,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid,3,310,0,310,L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes,True,ROOT,0
L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes|L3_Humidity3pm=others,3,262,0,262,L1_Location=BadgerysCreek|L2_RainToday=rain_today_yes,True,ROOT,0
L1_Location=Ballarat|L2_RainToday=others,2,11,0,11,L1_Location=Ballarat,True,L1_Location=Ballarat,0
L1_Location=Ballarat,1,0,347,0,ROOT,False,L1_Location=Ballarat,347
