bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.4,0.2,bucket_wise,ROOT,False
L1_Location=Albury,0.4,0.2,bucket_wise,L1_Location=Albury,False
L1_Location=AliceSprings,0.4,0.3,bucket_wise,L1_Location=AliceSprings,False
L1_Location=Ballarat,0.4,0.2,bucket_wise,L1_Location=Ballarat,False
L1_Location=Bendigo,0.4,0.2,bucket_wise,L1_Location=Bendigo,False
L1_Location=Brisbane,0.4,0.2,bucket_wise,L1_Location=Brisbane,False
L1_Location=Cairns,0.3,0.1,bucket_wise,L1_Location=Cairns,False
L1_Location=Canberra,0.5,0.3,bucket_wise,L1_Location=Canberra,False
L1_Location=Cobar,0.4,0.2,bucket_wise,L1_Location=Cobar,False
L1_Location=Dartmoor,0.4,0.3,bucket_wise,L1_Location=Dartmoor,False
L1_Location=Darwin,0.5,0.2,bucket_wise,L1_Location=Darwin,False
L1_Location=Katherine,0.4,0.2,bucket_wise,L1_Location=Katherine,False
L1_Location=Mildura,0.4,0.2,bucket_wise,L1_Location=Mildura,False
L1_Location=MountGambier,0.4,0.2,bucket_wise,L1_Location=MountGambier,False
L1_Location=Nhil,0.5,0.2,bucket_wise,L1_Location=Nhil,False
L1_Location=Nuriootpa,0.4,0.3,bucket_wise,L1_Location=Nuriootpa,False
L1_Location=PearceRAAF,0.3,0.1,bucket_wise,L1_Location=PearceRAAF,False
L1_Location=Penrith,0.4,0.2,bucket_wise,L1_Location=Penrith,False
L1_Location=Perth,0.4,0.3,bucket_wise,L1_Location=Perth,False
L1_Location=PerthAirport,0.4,0.2,bucket_wise,L1_Location=PerthAirport,False
L1_Location=Portland,0.4,0.3,bucket_wise,L1_Location=Portland,False
L1_Location=Richmond,0.4,0.2,bucket_wise,L1_Location=Richmond,False
L1_Location=Sale,0.4,0.2,bucket_wise,L1_Location=Sale,False
L1_Location=SydneyAirport,0.4,0.2,bucket_wise,L1_Location=SydneyAirport,False
L1_Location=Townsville,0.4,0.3,bucket_wise,L1_Location=Townsville,False
L1_Location=Uluru,0.4,0.3,bucket_wise,L1_Location=Uluru,False
L1_Location=WaggaWagga,0.4,0.3,bucket_wise,L1_Location=WaggaWagga,False
