fold,model,Precision,Recall,F1,BAC,AUC,MCC,Kappa,BND_ratio,POS_Coverage,Regret
1,BTTWD,0.574340949033392,0.7689411764705882,0.6575452716297786,0.8021419080322485,0.8905216375890457,0.5498588733336175,0.5393160510785007,0.13383030345652097,0.19747529800625901,0.2850662822180808
2,BTTWD,0.5727431566686081,0.7711731493099122,0.657309003408863,0.8024609797675881,0.8877865063152394,0.5495555883146729,0.5385861648165594,0.1416364851084778,0.19828404655578608,0.28566405288512253
3,BTTWD,0.5717981888745148,0.7625470514429109,0.6535385442570064,0.7987598149840218,0.8847534835370208,0.5443190226548478,0.5341700093219669,0.12813390062941735,0.2071451176201695,0.2856113084145012
4,BTTWD,0.5732728541521284,0.7731764705882352,0.6583850931677018,0.8034399780308261,0.8909198169591,0.5510685379768969,0.5399410459322944,0.13735143118362755,0.20219424713411632,0.28614881496589073
5,BTTWD,0.5781878400757038,0.7667450980392156,0.6592487693033919,0.802558516476436,0.8910913222652067,0.5521275556408419,0.5422468974935102,0.13524157817005417,0.19765806315493353,0.27786764188761515
1,LogReg,0.6633269994817758,0.6023529411764705,0.6313712594541268,0.7570095017702512,0.8711948129505609,0.5323846392326997,0.5313853318702948,0.0,,0.335947114877457
2,LogReg,0.6619595536959554,0.5955144291091593,0.6269815059445178,0.753814867638929,0.8694962344344026,0.5276030463736316,0.5264144589543822,0.0,,0.3402369984879918
3,LogReg,0.6668988333623541,0.6006900878293601,0.6320653519267265,0.7569919187730402,0.8666759771024131,0.5339638180535617,0.5327880528560602,0.0,,0.33584162593621436
4,LogReg,0.6673600277344427,0.6039215686274509,0.6340579710144927,0.7584716849165447,0.872504921290458,0.536103812716015,0.5350250839671038,0.0,,0.33384907518109574
5,LogReg,0.6697006826535971,0.600156862745098,0.6330244870946393,0.7573145280049199,0.8705230245295781,0.5356518657359841,0.5343570234445361,0.0,,0.33525564385681134
1,RandomForest,0.6894150417827298,0.6211764705882353,0.6535192672662761,0.7701603890287079,0.8876308279657039,0.5612567517625136,0.5600286830293254,0.0,,0.31748655015999155
2,RandomForest,0.6908330428720809,0.6217063989962359,0.654449397391448,0.7706501446098435,0.8850800904572858,0.5625251310741661,0.5612660793744152,0.0,,0.3168184535321214
3,RandomForest,0.6872054459766103,0.6174717691342535,0.6504750103263115,0.7681249069122293,0.8833411725155027,0.5576036563348533,0.5563187813480273,0.0,,0.3202995885931292
4,RandomForest,0.6902258231339424,0.628078431372549,0.6576872536136663,0.7733149261517598,0.889134050175389,0.56572432690665,0.564706913488396,0.0,,0.31331317251564805
5,RandomForest,0.6971647242998782,0.6287058823529412,0.6611679313757836,0.7748977446936713,0.8878911459430349,0.5709127179232919,0.5696839489823291,0.0,,0.3109220057669316
1,KNN,0.6295199501246883,0.6335686274509804,0.631537800015636,0.7629182876196163,0.8553198538298568,0.5246414415930083,0.524636955604886,0.0,,0.33000457118745385
2,KNN,0.6281605562579013,0.6234316185696361,0.625787153652393,0.7583912387368419,0.8536910861397193,0.5181753969651179,0.5181692649603841,0.0,,0.33601744083828544
3,KNN,0.6327412385981757,0.6201380175658721,0.6263762376237624,0.7580588560385223,0.8499484246122844,0.5198419063535061,0.5197984571086823,0.0,,0.3361932557403566
4,KNN,0.6366640440597955,0.6346666666666667,0.6356637863315004,0.7650059073259907,0.8551212472660732,0.5306047262782438,0.5306036393033775,0.0,,0.3268865602363035
5,KNN,0.6434796387260339,0.6370196078431373,0.6402333280781964,0.767519458093712,0.8557677097580636,0.5369667457038094,0.5369554259691156,0.0,,0.323229481679443
1,XGBoost,0.693006993006993,0.6218039215686274,0.6554774700289375,0.7711086322854015,0.8906715153066302,0.564108885471739,0.5627750812376364,0.0,,0.31608003094342274
2,XGBoost,0.6897816593886463,0.6193538268506901,0.6526733327824148,0.7694285337852236,0.8874826790636214,0.5604610857924878,0.5591529838557738,0.0,,0.3184711136115897
3,XGBoost,0.6924805531547105,0.6282936010037641,0.658827399062577,0.7738304337339901,0.8849311180353785,0.5674061215487972,0.5663224418553764,0.0,,0.3125637329020008
4,XGBoost,0.6924931129476584,0.6309019607843137,0.6602643027169005,0.7749759769928004,0.8909295466724967,0.5689073512968921,0.5679098431099092,0.0,,0.31102749841761024
5,XGBoost,0.704359909675178,0.636078431372549,0.6684800527530498,0.7794678518644915,0.8917057019426545,0.5801028717598522,0.5788871896020937,0.0,,0.3045924467262114
