bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,use_gain_weak_backoff,threshold_data_source,parent_with_threshold
ROOT,L1,,19886,8509,0.21799255757819572,0.22846397931601833,0.4,0.2,0.28052650135151014,0.6585497835497834,0.694634703196347,0.6260288065843621,0.148313550358444,0.20589963567986838,False,8509,142193,0.22418121848473554,0.7053982570621735,0.8905837948467211,global_default,f1_regret_bnd,,,,False,ROOT,False,val,
L1_Location=Canberra,L1,ROOT,493,344,0.17038539553752535,0.2616279069767442,0.5,0.3,0.313953488372093,0.6826347305389222,0.7402597402597403,0.6333333333333333,0.125,0.2238372093023256,False,344,3418,0.18402574605032182,0.7182414698162729,0.884426946631671,global_default,f1_regret_bnd,,,,False,L1_Location=Canberra,False,val,
L1_Location=Sydney,L1,ROOT,462,420,0.2987012987012987,0.3476190476190476,0.4,0.2,0.34285714285714286,0.7307692307692306,0.6867469879518072,0.7808219178082192,0.19523809523809524,0.3952380952380952,False,420,3337,0.25921486364998503,0.6787321267873212,0.8752124787521248,global_default,f1_regret_bnd,,,,False,L1_Location=Sydney,False,val,
L1_Location=Perth,L1,ROOT,440,350,0.20681818181818182,0.34285714285714286,0.4,0.3,0.19142857142857142,0.8255319148936171,0.8434782608695652,0.8083333333333333,0.05714285714285714,0.32857142857142857,False,350,3193,0.20200438459129347,0.8476449275362319,0.947391304347826,global_default,f1_regret_bnd,,,,False,L1_Location=Perth,False,val,
L1_Location=Darwin,L1,ROOT,437,418,0.2562929061784897,0.44976076555023925,0.5,0.2,0.2607655502392344,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.19138755980861244,0.44976076555023925,False,418,3192,0.2669172932330827,0.7172987974098057,0.9140379278445884,global_default,f1_regret_bnd,,,,False,L1_Location=Darwin,False,val,
L1_Location=Hobart,L1,ROOT,444,379,0.22747747747747749,0.2796833773087071,0.4,0.2,0.37730870712401055,0.6044444444444443,0.5714285714285714,0.6415094339622641,0.22691292875989447,0.31398416886543534,False,379,3188,0.23870765370138017,0.6174580136844288,0.8287718570737438,global_default,f1_regret_bnd,,,,False,L1_Location=Hobart,False,val,
L1_Location=Brisbane,L1,ROOT,471,335,0.2208067940552017,0.3522388059701492,0.4,0.2,0.3194029850746269,0.7586206896551725,0.7719298245614035,0.7457627118644068,0.15522388059701492,0.3402985074626866,False,335,3161,0.22429610882632078,0.7254159181441849,0.8929938295711942,global_default,f1_regret_bnd,,,,False,L1_Location=Brisbane,False,val,
L1_Location=Adelaide,L1,ROOT,475,352,0.23789473684210527,0.39488636363636365,0.4,0.1,0.3096590909090909,0.743801652892562,0.8737864077669902,0.6474820143884892,0.3210227272727273,0.29261363636363635,False,352,3090,0.2226537216828479,0.6289053264430708,0.9006653831864085,global_default,f1_regret_bnd,,,,False,L1_Location=Adelaide,False,val,
L1_Location=Bendigo,L1,ROOT,422,300,0.19194312796208532,0.2733333333333333,0.4,0.2,0.27,0.721518987341772,0.75,0.6951219512195121,0.13,0.25333333333333335,False,300,3034,0.1852340145023072,0.7443499664354442,0.9093756992615798,global_default,f1_regret_bnd,,,,False,L1_Location=Bendigo,False,val,
L1_Location=Townsville,L1,ROOT,437,304,0.18077803203661327,0.3092105263157895,0.4,0.3,0.21217105263157895,0.7958115183246073,0.7835051546391752,0.8085106382978723,0.12828947368421054,0.3190789473684211,False,304,3033,0.17111770524233433,0.7899696048632219,0.9400709219858157,global_default,f1_regret_bnd,,,,False,L1_Location=Townsville,False,val,
L1_Location=AliceSprings,L1,ROOT,567,236,0.1710758377425044,0.16101694915254236,0.4,0.3,0.15466101694915255,0.7435897435897436,0.725,0.7631578947368421,0.05084745762711865,0.1694915254237288,False,236,3031,0.08050148465852854,0.8310738968633706,0.9465709728867624,global_default,f1_regret_bnd,,,,False,L1_Location=AliceSprings,False,val,
L1_Location=MountGambier,L1,ROOT,424,410,0.28537735849056606,0.4317073170731707,0.4,0.2,0.29634146341463413,0.7802197802197803,0.7593582887700535,0.8022598870056498,0.17804878048780487,0.4560975609756098,False,410,3030,0.30363036303630364,0.7037050507989622,0.8959773041390849,global_default,f1_regret_bnd,,,,False,L1_Location=MountGambier,False,val,
L1_Location=Ballarat,L1,ROOT,433,356,0.24942263279445728,0.37640449438202245,0.4,0.2,0.3047752808988764,0.7675276752767528,0.7591240875912408,0.7761194029850746,0.17134831460674158,0.3848314606741573,False,356,3028,0.25792602377807133,0.7168885303213661,0.8929003630496167,global_default,f1_regret_bnd,,,,False,L1_Location=Ballarat,False,val,
L1_Location=Launceston,L1,ROOT,433,332,0.2632794457274827,0.29819277108433734,0.5,0.2,0.35843373493975905,0.6666666666666667,0.6881720430107527,0.6464646464646465,0.2710843373493976,0.28012048192771083,False,332,3028,0.2308454425363276,0.6193696622881173,0.8552477565353103,global_default,f1_regret_bnd,,,,False,L1_Location=Launceston,False,val,
L1_Location=Albany,L1,ROOT,425,422,0.28941176470588237,0.35545023696682465,0.4,0.2,0.3755924170616114,0.7030303030303031,0.6444444444444445,0.7733333333333333,0.26066350710900477,0.4265402843601896,False,422,3016,0.2990716180371353,0.6127696078431373,0.8611764705882353,global_default,f1_regret_bnd,,,,False,L1_Location=Albany,False,val,
L1_Location=Albury,L1,ROOT,435,328,0.20919540229885059,0.29878048780487804,0.4,0.2,0.24847560975609756,0.7551020408163265,0.7551020408163265,0.7551020408163265,0.15548780487804878,0.29878048780487804,False,328,3011,0.2052474261042843,0.7492901508429459,0.9243566992014197,global_default,f1_regret_bnd,,,,False,L1_Location=Albury,False,val,
L1_Location=PerthAirport,L1,ROOT,417,314,0.18225419664268586,0.28343949044585987,0.4,0.2,0.15286624203821655,0.8272251308900522,0.7745098039215687,0.8876404494382022,0.11146496815286625,0.3248407643312102,False,314,3009,0.18843469591226322,0.8349313358302122,0.9599500624219724,global_default,f1_regret_bnd,,,,False,L1_Location=PerthAirport,False,val,
L1_Location=MelbourneAirport,L1,ROOT,413,338,0.20581113801452786,0.26331360946745563,0.4,0.2,0.3343195266272189,0.6526315789473685,0.6138613861386139,0.6966292134831461,0.1804733727810651,0.2988165680473373,False,338,3009,0.21701561980724493,0.6776318758178783,0.8706737060601958,global_default,f1_regret_bnd,,,,False,L1_Location=MelbourneAirport,False,val,
L1_Location=Mildura,L1,ROOT,611,252,0.15057283142389524,0.17063492063492064,0.4,0.2,0.17857142857142858,0.7499999999999999,0.7333333333333333,0.7674418604651163,0.10317460317460317,0.17857142857142858,False,252,3007,0.10874625872963087,0.8023812173138979,0.934127072437966,global_default,f1_regret_bnd,,,,False,L1_Location=Mildura,False,val,
L1_Location=SydneyAirport,L1,ROOT,418,368,0.2511961722488038,0.38315217391304346,0.4,0.2,0.3220108695652174,0.749090909090909,0.7686567164179104,0.7304964539007093,0.18206521739130435,0.3641304347826087,False,368,3005,0.2575707154742097,0.7022526322366982,0.8821507795169806,global_default,f1_regret_bnd,,,,False,L1_Location=SydneyAirport,False,val,
L1_Location=Nuriootpa,L1,ROOT,420,323,0.21904761904761905,0.29721362229102166,0.4,0.3,0.2786377708978328,0.7439613526570048,0.6936936936936937,0.8020833333333334,0.05572755417956656,0.34365325077399383,False,323,3002,0.1972018654230513,0.7953147944199707,0.8917033773861969,global_default,f1_regret_bnd,,,,False,L1_Location=Nuriootpa,False,val,
L1_Location=Sale,L1,ROOT,426,348,0.2347417840375587,0.28448275862068967,0.4,0.2,0.3132183908045977,0.6940639269406391,0.6333333333333333,0.7676767676767676,0.14942528735632185,0.3448275862068966,False,348,3000,0.21433333333333332,0.715163685043203,0.8591943531702568,global_default,f1_regret_bnd,,,,False,L1_Location=Sale,False,val,
L1_Location=Watsonia,L1,ROOT,425,352,0.2635294117647059,0.3039772727272727,0.4,0.2,0.31392045454545453,0.6991150442477876,0.6638655462184874,0.7383177570093458,0.17897727272727273,0.3380681818181818,False,352,2999,0.2460820273424475,0.6956894907495708,0.8800305168796491,global_default,f1_regret_bnd,,,,False,L1_Location=Watsonia,False,val,
L1_Location=Tuggeranong,L1,ROOT,442,332,0.21266968325791855,0.29819277108433734,0.4,0.2,0.3644578313253012,0.6632124352331606,0.6808510638297872,0.6464646464646465,0.1716867469879518,0.28313253012048195,False,332,2998,0.1894596397598399,0.6730177309576452,0.8611869770668054,global_default,f1_regret_bnd,,,,False,L1_Location=Tuggeranong,False,val,
L1_Location=Portland,L1,ROOT,423,184,0.34278959810874704,0.3804347826086957,0.4,0.3,0.358695652173913,0.7234042553191489,0.7183098591549296,0.7285714285714285,0.09782608695652174,0.3858695652173913,False,184,2996,0.36548731642189586,0.7327067669172932,0.856140350877193,global_default,f1_regret_bnd,,,,False,L1_Location=Portland,False,val,
L1_Location=Woomera,L1,ROOT,541,221,0.11645101663585952,0.1085972850678733,0.3,0.1,0.20588235294117646,0.52,0.5,0.5416666666666666,0.13122171945701358,0.11764705882352941,False,221,2990,0.06755852842809365,0.6794627749576988,0.833756345177665,global_default,f1_regret_bnd,,,,False,L1_Location=Woomera,False,val,
L1_Location=Cairns,L1,ROOT,437,403,0.33867276887871856,0.49379652605459057,0.3,0.1,0.337468982630273,0.7857142857142857,0.7068273092369478,0.8844221105527639,0.21836228287841192,0.6178660049627791,False,403,2988,0.3179384203480589,0.5966228199822643,0.8697901271061189,global_default,f1_regret_bnd,,,,False,L1_Location=Cairns,False,val,
